row_label_raw,row_label_full,Bên cho vay,Số cuối năm VND,Kỳ hạn trả gốc,Mục đích vay,Lãi suất %/năm,Hình thức đảm bảo,numeric__Số cuối năm VND,numeric__Kỳ hạn trả gốc,numeric__Mục đích vay,numeric__Lãi suất %/năm,numeric__Hình thức đảm bảo
Các cổ đông nhỏ lẻ (*),Các cổ đông nhỏ lẻ (*),Các cổ đông nhỏ lẻ (*),Các cổ đông nhỏ lẻ (*),Các cổ đông nhỏ lẻ (*),Các cổ đông nhỏ lẻ (*),Các cổ đông nhỏ lẻ (*),Các cổ đông nhỏ lẻ (*),,,,,
"Hợp đồng số 01C/2012/HĐVV và 01D/2012/HĐVV, ngày 19 tháng 1 năm 2012","Các cổ đông nhỏ lẻ (*) > Hợp đồng số 01C/2012/HĐVV và 01D/2012/HĐVV, ngày 19 tháng 1 năm 2012","Hợp đồng số 01C/2012/HĐVV và 01D/2012/HĐVV, ngày 19 tháng 1 năm 2012",775.785.400,10 năm từ ngày 1 tháng 1 năm 2012,Đầu tư vào dự án thủy điện la Puch 3 và Đắk Pi Hao 2,8,Tín chấp,775785400.0,,,8.0,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,223.172.694,,,,,223172694.0,,,,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,552.612.706,,,,,552612706.0,,,,
