row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Bên thứ ba,Ngắn hạn > Bên thứ ba,Bên thứ ba,3.599.331.009,2.863.943.910,3599331009.0,2863943910.0
- Trung tâm Sản xuất thiết bị đo điện tửĐiện lực miễn Trung,Ngắn hạn > - Trung tâm Sản xuất thiết bị đo điện tửĐiện lực miễn Trung,- Trung tâm Sản xuất thiết bị đo điện tửĐiện lực miễn Trung,1.352.136.394,-,1352136394.0,
- Công ty TNHH Một thành viên Thí nghiệmđiện Miền Trung,Ngắn hạn > - Công ty TNHH Một thành viên Thí nghiệmđiện Miền Trung,- Công ty TNHH Một thành viên Thí nghiệmđiện Miền Trung,249.586.518,635.730.877,249586518.0,635730877.0
- Các nhà cung cấp khác,Ngắn hạn > - Các nhà cung cấp khác,- Các nhà cung cấp khác,1.997.608.097,2.227.346.033,1997608097.0,2227346033.0
Bên liên quan (Thuyết minh số 31),Ngắn hạn > Bên liên quan (Thuyết minh số 31),Bên liên quan (Thuyết minh số 31),1.974.990.653,3.386.170.533,1974990653.0,3386170533.0
,,,5.574.321.662,6.249.247.443,5574321662.0,6249247443.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Bên thứ ba,Dài hạn > Bên thứ ba,Bên thứ ba,166.630.351,275.307.039,166630351.0,275307039.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,5.740.952.013,6.524.554.482,5740952013.0,6524554482.0
