row_label_raw,row_label_full,Bà Nguyễn Thái Hà > Ông Phan Vũ Hùng,Trường ban,bổ nhiệm ngày 21 tháng 4 năm 2016 > từ nhiệm ngày 21 tháng 4 năm 2016,numeric__Trường ban,numeric__bổ nhiệm ngày 21 tháng 4 năm 2016 > từ nhiệm ngày 21 tháng 4 năm 2016
Ông Hàn Phi Hải,Ông Hàn Phi Hải,Ông Hàn Phi Hải,Thành viên,,,
Bà Nguyễn Thị Nga,Bà Nguyễn Thị Nga,Bà Nguyễn Thị Nga,Thành viên,bổ nhiệm ngày 21 tháng 4 năm 2016,,
Ông Võ Thanh Phong,Ông Võ Thanh Phong,Ông Võ Thanh Phong,Thành viên,từ nhiệm ngày 21 tháng 4 năm 2016,,
