row_label_raw,row_label_full,col_0,2021 triệu đồng,2020(trình bày lại) triệu đồng,numeric__2021 triệu đồng,numeric__2020(trình bày lại) triệu đồng
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,4.163.976,2.502.447,4163976.0,2502447.0
Thu từ nợ xấu đã được xử lý,Thu từ nợ xấu đã được xử lý,Thu từ nợ xấu đã được xử lý,3.192.445,1.722.617,3192445.0,1722617.0
Thu từ các công cụ tài chính phải sinh khác,Thu từ các công cụ tài chính phải sinh khác,Thu từ các công cụ tài chính phải sinh khác,820.321,502.215,820321.0,502215.0
"Thu từ chuyển nhượng, thanh lý tài sản","Thu từ chuyển nhượng, thanh lý tài sản","Thu từ chuyển nhượng, thanh lý tài sản",7.368,107.932,7368.0,107932.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,143.842,169.683,143842.0,169683.0
Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,(1.025.115),(737.045),-1025115.0,-737045.0
Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,(545.977),(353.120),-545977.0,-353120.0
"Chi phí từ chuyển nhượng, thanh lý tài sản","Chi phí từ chuyển nhượng, thanh lý tài sản","Chi phí từ chuyển nhượng, thanh lý tài sản",(2.877),(53.715),-2877.0,-53715.0
Chi phí khác,Chi phí khác,Chi phí khác,(476.261),(330.210),-476261.0,-330210.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,3.138.861,1.765.402,3138861.0,1765402.0
