row_label_raw,row_label_full,col_0,2021 triệu đồng,2020 (trình bày lại) triệu đồng,numeric__2021 triệu đồng,numeric__2020 (trình bày lại) triệu đồng
"Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí",14.310,15.230,14310.0,15230.0
Chi phí cho nhân viên,Chi phí cho nhân viên,Chi phí cho nhân viên,9.537.879,8.783.325,9537879.0,8783325.0
Chi lương và phụ cấp,Chi lương và phụ cấp,Chi lương và phụ cấp,7.690.980,7.011.635,7690980.0,7011635.0
Các khoản chi đóng góp theo lương,Các khoản chi đóng góp theo lương,Các khoản chi đóng góp theo lương,552.715,538.499,552715.0,538499.0
Chi trợ cấp,Chi trợ cấp,Chi trợ cấp,1.567,4.703,1567.0,4703.0
Chi khác,Chi khác,Chi khác,1.292.617,1.228.488,1292617.0,1228488.0
Chi về tài sản,Chi về tài sản,Chi về tài sản,2.833.566,2.469.262,2833566.0,2469262.0
Khấu hao tài sản cố định,Khấu hao tài sản cố định,Khấu hao tài sản cố định,978.808,940.148,978808.0,940148.0
Chi khác về tài sản,Chi khác về tài sản,Chi khác về tài sản,1.854.758,1.529.114,1854758.0,1529114.0
Chi cho hoạt động quản lý công vụ,Chi cho hoạt động quản lý công vụ,Chi cho hoạt động quản lý công vụ,3.217.184,3.084.292,3217184.0,3084292.0
Chi công tác phí,Chi công tác phí,Chi công tác phí,94.230,116.786,94230.0,116786.0
Chi các hoạt động đoàn thể của TCTD,Chi các hoạt động đoàn thể của TCTD,Chi các hoạt động đoàn thể của TCTD,10.810,13.923,10810.0,13923.0
Chi khác cho hoạt động quản lý,Chi khác cho hoạt động quản lý,Chi khác cho hoạt động quản lý,3.112.144,2.953.583,3112144.0,2953583.0
Chi bảo hiểm tiền gửi của khách hàng,Chi bảo hiểm tiền gửi của khách hàng,Chi bảo hiểm tiền gửi của khách hàng,769.841,719.492,769841.0,719492.0
Chi phí dự phòng (không tính chi phí dự phòng rủi ro tín dụng nội và ngoại bảng; chi phí dự phòng rủi ro chứng khoán),Chi phí dự phòng (không tính chi phí dự phòng rủi ro tín dụng nội và ngoại bảng; chi phí dự phòng rủi ro chứng khoán),Chi phí dự phòng (không tính chi phí dự phòng rủi ro tín dụng nội và ngoại bảng; chi phí dự phòng rủi ro chứng khoán),-,40.548,,40548.0
,,,16.372.780,15.112.149,16372780.0,15112149.0
