row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcriệu đồng",Máy móc thiết bịtriệu đồng,Phương tiệnvận tàitriệu đồng,TSCĐ kháctriệu đồng,Tổng cộngtriệu đồng,"numeric__Nhà cửa,vật kiến trúcriệu đồng",numeric__Máy móc thiết bịtriệu đồng,numeric__Phương tiệnvận tàitriệu đồng,numeric__TSCĐ kháctriệu đồng,numeric__Tổng cộngtriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,7.772.968,5.441.300,1.538.475,348.664,15.101.407,7772968.0,5441300.0,1538475.0,348664.0,15101407.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,179.173,140.044,146.318,26.307,491.842,179173.0,140044.0,146318.0,26307.0,491842.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,36.871,3.948,1.967,643,43.429,36871.0,3948.0,1967.0,643.0,43429.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,713,-,(713),-,,713.0,,-713.0,
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(56.838),(59.940),(31.182),(3.545),(151.505),-56838.0,-59940.0,-31182.0,-3545.0,-151505.0
Tăng/(giảm) khác,Nguyên giá > Tăng/(giảm) khác,Tăng/(giảm) khác,(5.237),(39.171),(2.856),265,(46.999),-5237.0,-39171.0,-2856.0,265.0,-46999.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,7.926.937,5.486.894,1.652.722,371.621,15.438.174,7926937.0,5486894.0,1652722.0,371621.0,15438174.0
Giá trị hao mòn luỷ kế,Giá trị hao mòn luỷ kế,Giá trị hao mòn luỷ kế,Giá trị hao mòn luỷ kế,Giá trị hao mòn luỷ kế,Giá trị hao mòn luỷ kế,Giá trị hao mòn luỷ kế,Giá trị hao mòn luỷ kế,,,,,
Số dư đầu năm,Giá trị hao mòn luỷ kế > Số dư đầu năm,Số dư đầu năm,2.503.921,4.957.479,1.126.061,298.750,8.886.211,2503921.0,4957479.0,1126061.0,298750.0,8886211.0
Khấu hao trong năm,Giá trị hao mòn luỷ kế > Khấu hao trong năm,Khấu hao trong năm,289.935,231.425,136.056,30.347,687.763,289935.0,231425.0,136056.0,30347.0,687763.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỷ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(20.997),(59.940),(31.182),(3.543),(115.662),-20997.0,-59940.0,-31182.0,-3543.0,-115662.0
Phân loại lại,Giá trị hao mòn luỷ kế > Phân loại lại,Phân loại lại,-,288,-,(288),-,,288.0,,-288.0,
Tăng/(giảm) khác,Giá trị hao mòn luỷ kế > Tăng/(giảm) khác,Tăng/(giảm) khác,3.776,(41.784),223,(322),(38.107),3776.0,-41784.0,223.0,-322.0,-38107.0
Số dư cuối năm,Giá trị hao mòn luỷ kế > Số dư cuối năm,Số dư cuối năm,2.776.635,5.087.468,1.231.158,324.944,9.420.205,2776635.0,5087468.0,1231158.0,324944.0,9420205.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,5.269.047,483.821,412.414,49.914,6.215.196,5269047.0,483821.0,412414.0,49914.0,6215196.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,5.150.302,399.426,421.564,46.677,6.017.969,5150302.0,399426.0,421564.0,46677.0,6017969.0
