row_label_raw,row_label_full,Số dư tại ngày 1 tháng 1 năm 2020 > Dự phòng rủi ro (hoàn nhập)/trích lậptrong năm,Chứng khoánđầu tư sẵnsàng để bántriệu đồng > 1.285.284 > (355.619),Chứng khoánđầu tư giữ đếngày đáo hạntriệu đồng > 6.591.919 > 5.820.304,Tổngtriệu đồng > 7.877.203 > 5.464.685,numeric__Chứng khoánđầu tư sẵnsàng để bántriệu đồng > 1.285.284 > (355.619),numeric__Chứng khoánđầu tư giữ đếngày đáo hạntriệu đồng > 6.591.919 > 5.820.304,numeric__Tổngtriệu đồng > 7.877.203 > 5.464.685
Sử dụng dự phòng xử lý rủi ro tín dụng,Sử dụng dự phòng xử lý rủi ro tín dụng,Sử dụng dự phòng xử lý rủi ro tín dụng,(590.000),(12.409.322),(12.999.322),-590000.0,-12409322.0,-12999322.0
Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,339.665,2.901,342.566,339665.0,2901.0,342566.0
