row_label_raw,row_label_full,col_0,2021triệu đồng,2020(trình bày lại)triệu đồng,numeric__2021triệu đồng,numeric__2020(trình bày lại)triệu đồng
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,6.981.479,6.011.216,6981479.0,6011216.0
Thu từ dịch vụ thanh toán,Thu từ dịch vụ thanh toán,Thu từ dịch vụ thanh toán,3.917.841,3.416.062,3917841.0,3416062.0
Thu từ dịch vụ tư vấn,Thu từ dịch vụ tư vấn,Thu từ dịch vụ tư vấn,161.512,137.261,161512.0,137261.0
Thu từ dịch vụ đại lý nhận ủy thác,Thu từ dịch vụ đại lý nhận ủy thác,Thu từ dịch vụ đại lý nhận ủy thác,229.411,202.577,229411.0,202577.0
Thu dịch vụ khác,Thu dịch vụ khác,Thu dịch vụ khác,2.672.715,2.255.316,2672715.0,2255316.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,(2.612.680),(2.233.896),-2612680.0,-2233896.0
Chi về dịch vụ thanh toán,Chi về dịch vụ thanh toán,Chi về dịch vụ thanh toán,(2.039.832),(1.707.243),-2039832.0,-1707243.0
Chi về dịch vụ tư vấn,Chi về dịch vụ tư vấn,Chi về dịch vụ tư vấn,(43.156),(12.991),-43156.0,-12991.0
Chi về nghiệp vụ ủy thác và đại lý,Chi về nghiệp vụ ủy thác và đại lý,Chi về nghiệp vụ ủy thác và đại lý,(5.534),(6.560),-5534.0,-6560.0
Chi về hoạt động ngân quỹ,Chi về hoạt động ngân quỹ,Chi về hoạt động ngân quỹ,(284.288),(331.514),-284288.0,-331514.0
Chi dịch vụ khác,Chi dịch vụ khác,Chi dịch vụ khác,(239.870),(175.588),-239870.0,-175588.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,4.368.799,3.777.320,4368799.0,3777320.0
