row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2021triệu đồng,Ngày 31 tháng 12năm 2020(trình bày lại)triệu đồng,numeric__Ngày 31 tháng 12năm 2021triệu đồng,numeric__Ngày 31 tháng 12năm 2020(trình bày lại)triệu đồng
"Các khoản thu, chỉ hộ các tổ chức khác","Các khoản thu, chỉ hộ các tổ chức khác","Các khoản thu, chỉ hộ các tổ chức khác",4.982.163,1.491.579,4982163.0,1491579.0
Tiền giữ hộ và đợi thanh toán,Tiền giữ hộ và đợi thanh toán,Tiền giữ hộ và đợi thanh toán,198.806,79.199,198806.0,79199.0
Thuế thu nhập doanh nghiệp phải trả (Thuyết minh số 24),Thuế thu nhập doanh nghiệp phải trả (Thuyết minh số 24),Thuế thu nhập doanh nghiệp phải trả (Thuyết minh số 24),659.571,1.269.029,659571.0,1269029.0
Cổ tức phải trả cho cổ đông,Cổ tức phải trả cho cổ đông,Cổ tức phải trả cho cổ đông,3.844.600,-,3844600.0,
Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,1.121.172,1.066.077,1121172.0,1066077.0
Thuế và phí phải trả,Thuế và phí phải trả,Thuế và phí phải trả,188.668,239.533,188668.0,239533.0
Phải trả NHNN do thu hồi nợ đã xóa,Phải trả NHNN do thu hồi nợ đã xóa,Phải trả NHNN do thu hồi nợ đã xóa,76.007,95.009,76007.0,95009.0
Các khoản phải trả liên quan đến hoạt động tài trợ thương mại,Các khoản phải trả liên quan đến hoạt động tài trợ thương mại,Các khoản phải trả liên quan đến hoạt động tài trợ thương mại,5.996,8.904,5996.0,8904.0
Chuyển tiền phải trả,Chuyển tiền phải trả,Chuyển tiền phải trả,149.208,984,149208.0,984.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,355.692,250.781,355692.0,250781.0
,,,11.581.883,4.501.095,11581883.0,4501095.0
