row_label_raw,row_label_full,Tình trạng quá hạn,Khoảng thời gian phát sinh khoản nợ,Khoảng thời gian đến hạn hoặc phát sinh quá hạn,Nguyên tắc giữ nguyên nhóm nợ,numeric__Khoảng thời gian phát sinh khoản nợ,numeric__Khoảng thời gian đến hạn hoặc phát sinh quá hạn,numeric__Nguyên tắc giữ nguyên nhóm nợ
Số dư nợ còn trong hạn hoặc quá hạn đến 10 (mười) ngày kể từ ngày đến hạn thanh toán,Số dư nợ còn trong hạn hoặc quá hạn đến 10 (mười) ngày kể từ ngày đến hạn thanh toán,Số dư nợ còn trong hạn hoặc quá hạn đến 10 (mười) ngày kể từ ngày đến hạn thanh toán,Trước ngày 1 tháng 8 năm 2021,Từ ngày 30 tháng 3 năm 2020 đến trước ngày 30 tháng 6 năm 2022,Giữ nguyên nhóm nợ đã phân loại nợ tại thời điểm gần nhất trước ngày 23 tháng 1 năm 2020 hoặc tại thời điểm gần nhất trước ngày thực hiện cơ cấu lại thời hạn trả nợ lần đầu,,,
Quá hạn,Quá hạn,Quá hạn,Trước ngày 23 tháng 1 năm 2020,Từ ngày 23 tháng 1 năm 2020 đến ngày 29 tháng 3 năm 2020,Giữ nguyên nhóm nợ đã phân loại nợ tại thời điểm gần nhất trước ngày 23 tháng 1 năm 2020,,,
Quá hạn,Quá hạn,Quá hạn,Từ ngày 23 tháng 1 năm 2020 đến trước ngày 10 tháng 6 năm 2020,Trước ngày 17 tháng 5 năm 2021,Giữ nguyên nhóm nợ đã phân loại nợ tại thời điểm gần nhất trước ngày khoản nợ bị chuyển quá hạn,,,
Quá hạn,Quá hạn,Quá hạn,Từ ngày 10 tháng 6 năm 2020 đến trước ngày 1 tháng 8 năm 2021,Từ ngày 17 tháng 7 năm 2021 đến trước 7 tháng 9 năm 2021,Giữ nguyên nhóm nợ đã phân loại nợ tại thời điểm gần nhất trước ngày khoản nợ bị chuyển quá hạn,,,
