row_label_raw,row_label_full,col_0,31/12/2020(triệu đồng)Số đã trình bày,Điều chỉnh,31/12/2020(triệu đồng)Trình bày lại,numeric__31/12/2020(triệu đồng)Số đã trình bày,numeric__Điều chỉnh,numeric__31/12/2020(triệu đồng)Trình bày lại
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,992.629.841,(20.978),992.608.863,992629841.0,-20978.0,992608863.0
Dự phòng rủi ro cho vay khách hàng,TÀI SẢN > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,(12.345.700),(20.978),(12.366.678),-12345700.0,-20978.0,-12366678.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,10.515.830,13.872,10.529.702,10515830.0,13872.0,10529702.0
Tài sản cố định hữu hình,TÀI SẢN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,6.201.397,13.799,6.215.196,6201397.0,13799.0,6215196.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,15.089.112,12.295,15.101.407,15089112.0,12295.0,15101407.0
Khẩu hao tài sản cố định,TÀI SẢN > Khẩu hao tài sản cố định,Khẩu hao tài sản cố định,(8.887.715),1.504,(8.886.211),-8887715.0,1504.0,-8886211.0
Tài sản cố định vô hình,TÀI SẢN > Tài sản cố định vô hình,Tài sản cố định vô hình,4.314.433,73,4.314.506,4314433.0,73.0,4314506.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,6.259.206,120,6.259.326,6259206.0,120.0,6259326.0
Hao mòn tài sản cố định,TÀI SẢN > Hao mòn tài sản cố định,Hao mòn tài sản cố định,(1.944.773),(47),(1.944.820),-1944773.0,-47.0,-1944820.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,31.456.057,76.935,31.532.992,31456057.0,76935.0,31532992.0
Các khoản phải thu,TÀI SẢN > Các khoản phải thu,Các khoản phải thu,21.209.490,17.156,21.226.646,21209490.0,17156.0,21226646.0
"Các khoản lãi, phí phải thu","TÀI SẢN > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",7.532.193,(1.201),7.530.992,7532193.0,-1201.0,7530992.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,2.754.970,60.980,2.815.950,2754970.0,60980.0,2815950.0
TỔNG TÀI SẢN,TÀI SẢN > TỔNG TÀI SẢN,TỔNG TÀI SẢN,1.327.921.008,69.829,1.327.990.837,1327921008.0,69829.0,1327990837.0
,,,31/12/2020(triệu đồng)Số đã trình bày,Điều chỉnh,31/12/2020(triệu đồng)Trình bày lại,,,
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,
Các khoản nợ khác,NỘ PHẢI TRẢ > Các khoản nợ khác,Các khoản nợ khác,25.659.752,46.968,25.706.720,25659752.0,46968.0,25706720.0
Các khoản phải trả và công nợ khác,NỘ PHẢI TRẢ > Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,9.749.349,46.968,9.796.317,9749349.0,46968.0,9796317.0
TỔNG NỘ PHẢI TRẢVỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢVỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢVỐN CHỦ SỞ HỮU,1.245.808.062,46.968,1.245.855.030,1245808062.0,46968.0,1245855030.0
Lợi nhuận chưa phân phối,NỘ PHẢI TRẢ > Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,24.722.422,22.861,24.745.283,24722422.0,22861.0,24745283.0
TỔNG VỐN CHỦ SỞ HỮUTỔNG NỘ PHẢI TRẢ VÀVỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ > TỔNG VỐN CHỦ SỞ HỮUTỔNG NỘ PHẢI TRẢ VÀVỐN CHỦ SỞ HỮU,TỔNG VỐN CHỦ SỞ HỮUTỔNG NỘ PHẢI TRẢ VÀVỐN CHỦ SỞ HỮU,82.112.946,22.861,82.135.807,82112946.0,22861.0,82135807.0
,,,1.327.921.008,69.829,1.327.990.837,1327921008.0,69829.0,1327990837.0
