row_label_raw,row_label_full,col_0,Quyền sử dụng đất triệu đồng,TSCĐ vô hình khác triệu đồng,Tổng cộng triệu đồng,numeric__Quyền sử dụng đất triệu đồng,numeric__TSCĐ vô hình khác triệu đồng,numeric__Tổng cộng triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.959.122,2.300.204,6.259.326,3959122.0,2300204.0,6259326.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,75.035,130.050,205.085,75035.0,130050.0,205085.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(509),(509),,-509.0,-509.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,5.435,9.439,14.874,5435.0,9439.0,14874.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.039.592,2.439.184,6.478.776,4039592.0,2439184.0,6478776.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,366.873,1.577.947,1.944.820,366873.0,1577947.0,1944820.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,41.496,249.549,291.045,41496.0,249549.0,291045.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(509),(509),,-509.0,-509.0
Tăng khác,Giá trị hao mòn luỹ kế > Tăng khác,Tăng khác,2.827,36.061,38.888,2827.0,36061.0,38888.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,411.196,1.863.048,2.274.244,411196.0,1863048.0,2274244.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,3.592.249,722.257,4.314.506,3592249.0,722257.0,4314506.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,3.628.396,576.136,4.204.532,3628396.0,576136.0,4204532.0
