row_label_raw,row_label_full,col_0,Vốn điều lệ triệu đồng,Thặng dư vốn cổ phần triệu đồng,Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,Quỹ dự phòng tài chính triệu đồng,Lợi nhuận chưa phân phối triệu đồng,Tổng cộng triệu đồng,numeric__Vốn điều lệ triệu đồng,numeric__Thặng dư vốn cổ phần triệu đồng,numeric__Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,numeric__Quỹ dự phòng tài chính triệu đồng,numeric__Lợi nhuận chưa phân phối triệu đồng,numeric__Tổng cộng triệu đồng
Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,37.234.046,8.969.827,3.081.772,6.137.397,18.883.517,74.306.559,37234046.0,8969827.0,3081772.0,6137397.0,18883517.0,74306559.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,13.278.707,13.278.707,,,,,13278707.0,13278707.0
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,-,662.792,1.325.584,(1.988.376),-,,,662792.0,1325584.0,-1988376.0,
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,-,(3.536.183),(3.536.183),,,,,-3536183.0,-3536183.0
Trả cổ tức năm 2019,Trả cổ tức năm 2019,Trả cổ tức năm 2019,-,-,-,-,(1.861.702),(1.861.702),,,,,-1861702.0,-1861702.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,(6.965),(13.929),(30.680),(51.574),,,-6965.0,-13929.0,-30680.0,-51574.0
Số dư tại ngày 31 tháng 12 năm 2020(trình bày lại),Số dư tại ngày 31 tháng 12 năm 2020(trình bày lại),Số dư tại ngày 31 tháng 12 năm 2020(trình bày lại),37.234.046,8.969.827,3.737.599,7.449.052,24.745.283,82.135.807,37234046.0,8969827.0,3737599.0,7449052.0,24745283.0,82135807.0
Phát hành cổ phiếu trả cổ tức,Phát hành cổ phiếu trả cổ tức,Phát hành cổ phiếu trả cổ tức,10.823.460,-,-,-,(10.823.460),-,10823460.0,,,,-10823460.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,13.622.346,13.622.346,,,,,13622346.0,13622346.0
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,-,681.117,1.362.235,(2.043.352),-,,,681117.0,1362235.0,-2043352.0,
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,-,(1.748.043),(1.748.043),,,,,-1748043.0,-1748043.0
Trả cổ tức năm 2020,Trả cổ tức năm 2020,Trả cổ tức năm 2020,-,-,-,-,(3.844.600),(3.844.600),,,,,-3844600.0,-3844600.0
Sử dụng quỹ,Sử dụng quỹ,Sử dụng quỹ,-,-,-,(40),-,(40),,,,-40.0,,-40.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,-,-,(27.114),(27.114),,,,,-27114.0,-27114.0
Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,48.057.506,8.969.827,4.418.716,8.811.247,19.881.060,90.138.356,48057506.0,8969827.0,4418716.0,8811247.0,19881060.0,90138356.0
