row_label_raw,row_label_full,col_0,Khòngchịu lãitriệu đồng,Quá hạn,Quá hạn_1,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Tổng cộngtriệu đồng,numeric__Khòngchịu lãitriệu đồng,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Tổng cộngtriệu đồng
,,,Khòngchịu lãitriệu đồng,Trên 3 thángtriệu đồng,Đến 3 thángtriệu đồng,Đến 1 thángtriệu đồng,Từ 1 - 3 thángtriệu đồng,Từ 3 - 6 thángtriệu đồng,Từ 6 - 12thángtriệu đồng,Từ 1 - 5 nămtriệu đồng,Trên 5nămtriệu đồng,Tổng cộngtriệu đồng,,,,,,,,,,
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tải sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",11.196.660,-,-,-,-,-,-,-,-,11.196.660,11196660.0,,,,,,,,,11196660.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,885.455,-,-,22.497.486,-,-,-,-,-,23.382.941,885455.0,,,22497486.0,,,,,,23382941.0
Tiền gửi tại và cho vay các TCTD khác (*),Tải sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),-,-,-,127.717.316,10.282.052,9.331.771,-,-,-,147.331.139,,,,127717316.0,10282052.0,9331771.0,,,,147331139.0
Chứng khoán kinh doanh (*),Tải sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,-,1.092.554,-,-,-,-,-,1.092.554,,,,1092554.0,,,,,,1092554.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tải sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,-,1.454.790,-,-,-,-,-,1.454.790,,,,1454790.0,,,,,,1454790.0
Cho vay khách hàng (*),Tải sản > Cho vay khách hàng (*),Cho vay khách hàng (*),-,14.251.489,11.846.029,331.846.052,310.050.390,321.158.954,98.169.912,29.405.229,3.335.030,1.120.063.085,,14251489.0,11846029.0,331846052.0,310050390.0,321158954.0,98169912.0,29405229.0,3335030.0,1120063085.0
Chứng khoán đầu tư (*),Tải sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),376.615,-,-,2.750.037,8.435.007,25.263.002,14.605.001,56.472.790,67.876.811,175.779.263,376615.0,,,2750037.0,8435007.0,25263002.0,14605001.0,56472790.0,67876811.0,175779263.0
"Góp vốn, đầu tư dài hạn (*)","Tải sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",5.551.782,-,-,-,-,-,-,-,-,5.551.782,5551782.0,,,,,,,,,5551782.0
Tài sản cố định,Tải sản > Tài sản cố định,Tài sản cố định,10.222.501,-,-,-,-,-,-,-,-,10.222.501,10222501.0,,,,,,,,,10222501.0
Tài sản Có khác (*),Tải sản > Tài sản Có khác (*),Tài sản Có khác (*),21.161.509,40.706,-,5.564.379,7.588.486,8.971.014,1.988.113,-,-,45.314.207,21161509.0,40706.0,,5564379.0,7588486.0,8971014.0,1988113.0,,,45314207.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,49.394.522,14.292.195,11.846.029,492.922.614,336.355.935,364.724.741,114.763.026,85.878.019,71.211.841,1.541.388.922,49394522.0,14292195.0,11846029.0,492922614.0,336355935.0,364724741.0,114763026.0,85878019.0,71211841.0,1541388922.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,-,28.796.088,3.477.634,637.176,383.506,-,-,33.294.404,,,,28796088.0,3477634.0,637176.0,383506.0,,,33294404.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,88.841.964,22.853.063,16.024.887,5.274.243,-,-,132.994.157,,,,88841964.0,22853063.0,16024887.0,5274243.0,,,132994157.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,495.185.569,206.688.181,168.548.625,244.764.825,44.559.181,14.822,1.159.761.203,,,,495185569.0,206688181.0,168548625.0,244764825.0,44559181.0,14822.0,1159761203.0
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",-,-,-,-,2.527.930,-,-,-,-,2.527.930,,,,,2527930.0,,,,,2527930.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,-,24.665.100,31.112.130,5.805.555,2.914.000,64.496.785,,,,,,24665100.0,31112130.0,5805555.0,2914000.0,64496785.0
Các khoản nợ khác (*),Nợ phải trả > Các khoản nợ khác (*),Các khoản nợ khác (*),32.405.553,-,-,-,-,-,-,-,-,32.405.553,32405553.0,,,,,,,,,32405553.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,32.405.553,-,-,612.823.621,235.546.808,209.875.788,281.534.704,50.364.736,2.928.822,1.425.480.032,32405553.0,,,612823621.0,235546808.0,209875788.0,281534704.0,50364736.0,2928822.0,1425480032.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,16.988.969,14.292.195,11.846.029,(119.901.007),100.809.127,154.848.953,(166.771.678),35.513.283,68.283.019,115.908.890,16988969.0,14292195.0,11846029.0,-119901007.0,100809127.0,154848953.0,-166771678.0,35513283.0,68283019.0,115908890.0
Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của tài sản và công nợ (ròng),Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của tài sản và công nợ (ròng),Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của tài sản và công nợ (ròng),-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
"Mức chênh nhạy cảm với lãi suất nội, ngoại bảng","Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của tài sản và công nợ (ròng) > Mức chênh nhạy cảm với lãi suất nội, ngoại bảng","Mức chênh nhạy cảm với lãi suất nội, ngoại bảng",16.988.969,14.292.195,11.846.029,(119.901.007),100.809.127,154.848.953,(166.771.678),35.513.283,68.283.019,115.908.890,16988969.0,14292195.0,11846029.0,-119901007.0,100809127.0,154848953.0,-166771678.0,35513283.0,68283019.0,115908890.0
