row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2021triệu đồng,%,Ngày 31 tháng 12năm 2020triệu đồng,%_1,numeric__Ngày 31 tháng 12năm 2021triệu đồng,numeric__%,numeric__Ngày 31 tháng 12năm 2020triệu đồng,numeric__%_1
Công ty Nhà nước,Công ty Nhà nước,Công ty Nhà nước,169.974.644,"14,66",152.046.050,"15,39",169974644.0,14.66,152046050.0,15.39
Công ty TNHH MTV do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH MTV do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH MTV do Nhà nước sở hữu 100% vốn điều lệ,24.866.867,"2,14",17.775.175,"1,80",24866867.0,2.14,17775175.0,1.8
Công ty TNHH hai thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc,Công ty TNHH hai thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc,Công ty TNHH hai thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc,1.220.847,"0,11",1.273.315,"0,13",1220847.0,0.11,1273315.0,0.13
Nhà nước giữ quyền chi phối,Nhà nước giữ quyền chi phối,Nhà nước giữ quyền chi phối,41.607.415,"3,59",33.482.054,"3,39",41607415.0,3.59,33482054.0,3.39
Công ty TNHH khácCông ty cổ phần có vốn cổ phần của nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết hoặc nhà nước giữ quyền chi phối đối với công ty trọng Điều lệ của công ty,Công ty TNHH khácCông ty cổ phần có vốn cổ phần của nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết hoặc nhà nước giữ quyền chi phối đối với công ty trọng Điều lệ của công ty,Công ty TNHH khácCông ty cổ phần có vốn cổ phần của nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết hoặc nhà nước giữ quyền chi phối đối với công ty trọng Điều lệ của công ty,48.868.925,"4,21",39.694.271,"4,02",48868925.0,4.21,39694271.0,4.02
Công ty Cổ phần khác,Công ty Cổ phần khác,Công ty Cổ phần khác,94.189.185,"8,12",65.739.244,"6,65",94189185.0,8.12,65739244.0,6.65
Công ty hợp danh,Công ty hợp danh,Công ty hợp danh,9.381.054,"0,81",8.675.462,"0,88",9381054.0,0.81,8675462.0,0.88
Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,1.605.441,"0,14",2.026.446,"0,21",1605441.0,0.14,2026446.0,0.21
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,114.920.613,"9,91",99.329.976,"10,05",114920613.0,9.91,99329976.0,10.05
Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,465.263,"0,04",1.616.494,"0,16",465263.0,0.04,1616494.0,0.16
"Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân",561.137.829,"48,38",495.539.492,"50,15",561137829.0,48.38,495539492.0,50.15
"Đơn vị hành chính sự nghiệp, đẳng, đoàn thể và hiệp hội","Đơn vị hành chính sự nghiệp, đẳng, đoàn thể và hiệp hội","Đơn vị hành chính sự nghiệp, đẳng, đoàn thể và hiệp hội",45.355.119,"3,91",39.939.934,"4,04",45355119.0,3.91,39939934.0,4.04
Các thành phần kinh tế khác,Các thành phần kinh tế khác,Các thành phần kinh tế khác,46.168.001,"3,98",30.932.243,"3,13",46168001.0,3.98,30932243.0,3.13
,,,1.159.761.203,100,988.070.156,100,1159761203.0,100.0,988070156.0,100.0
