row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2021 triệu đồng,Ngày 31 tháng 12 năm 2020 (trình bày lại) triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2021 triệu đồng,numeric__Ngày 31 tháng 12 năm 2020 (trình bày lại) triệu đồng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
"Tiền mặt, vàng bạc, đá quý","TÀI SẢN > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5,11.196.660,9.746.787,5.0,11196660.0,9746787.0
Tiền gửi tại Ngân hàng Nhà nước,TÀI SẢN > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,6,23.382.941,57.616.304,6.0,23382941.0,57616304.0
Tiền gửi và cho vay các tổ chức tín dụng khác,TÀI SẢN > Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,7,147.331.139,102.712.904,7.0,147331139.0,102712904.0
Tiền gửi tại các tổ chức tín dụng khác,TÀI SẢN > Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,,130.825.951,93.651.129,,130825951.0,93651129.0
Cho vay các tổ chức tín dụng khác,TÀI SẢN > Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,,16.505.188,9.061.775,,16505188.0,9061775.0
Dự phòng rủi ro cho vay các TCTD khác,Dự phòng rủi ro cho vay các TCTD khác,Dự phòng rủi ro cho vay các TCTD khác,,-,-,,,
Chứng khoán kinh doanh,Dự phòng rủi ro cho vay các TCTD khác > Chứng khoán kinh doanh,Chứng khoán kinh doanh,8,1.084.670,4.252.697,8.0,1084670.0,4252697.0
Chứng khoán kinh doanh,Dự phòng rủi ro cho vay các TCTD khác > Chứng khoán kinh doanh,Chứng khoán kinh doanh,,1.092.554,4.252.697,,1092554.0,4252697.0
Dự phòng rủi ro chứng khoán kinh doanh,Dự phòng rủi ro cho vay các TCTD khác > Dự phòng rủi ro chứng khoán kinh doanh,Dự phòng rủi ro chứng khoán kinh doanh,,(7.884),-,,-7884.0,
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Dự phòng rủi ro cho vay các TCTD khác > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,9,1.454.790,137.122,9.0,1454790.0,137122.0
Cho vay khách hàng,Dự phòng rủi ro cho vay các TCTD khác > Cho vay khách hàng,Cho vay khách hàng,,1.094.460.294,992.608.863,,1094460294.0,992608863.0
Cho vay khách hàng,Dự phòng rủi ro cho vay các TCTD khác > Cho vay khách hàng,Cho vay khách hàng,10,1.120.063.085,1.004.975.541,10.0,1120063085.0,1004975541.0
Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay các TCTD khác > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,11,(25.602.791),(12.366.678),11.0,-25602791.0,-12366678.0
Chứng khoán đầu tư,Dự phòng rủi ro cho vay các TCTD khác > Chứng khoán đầu tư,Chứng khoán đầu tư,12,175.660.110,113.301.684,12.0,175660110.0,113301684.0
Chứng khoán đầu tư sẵn sàng để bán,Dự phòng rủi ro cho vay các TCTD khác > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,12.1,173.192.431,111.057.472,121.0,173192431.0,111057472.0
