row_label_raw,row_label_full,col_0,Số dưđầu năm(trình bày lại)triệu đồng,Phát sinh trong năm > Số phải nộptriệu đồng,Phát sinh trong năm > Số đã nộptriệu đồng,Số dưcuối nămtriệu đồng,numeric__Số dưđầu năm(trình bày lại)triệu đồng,numeric__Phát sinh trong năm > Số phải nộptriệu đồng,numeric__Phát sinh trong năm > Số đã nộptriệu đồng,numeric__Số dưcuối nămtriệu đồng
Thuế GTGT,Thuế GTGT,Thuế GTGT,68.988,529.795,543.870,54.913,68988.0,529795.0,543870.0,54913.0
Thuế TNDN,Thuế TNDN,Thuế TNDN,1.269.029,3.238.080,3.847.538,659.571,1269029.0,3238080.0,3847538.0,659571.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,170.544,819.605,856.394,133.755,170544.0,819605.0,856394.0,133755.0
,,,1.508.561,4.587.480,5.247.802,848.239,1508561.0,4587480.0,5247802.0,848239.0
