row_label_raw,row_label_full,col_0,TÀI SẢN,MS,TM,31/12/2025VND,01/01/2025VND,numeric__TÀI SẢN,numeric__MS,numeric__TM,numeric__31/12/2025VND,numeric__01/01/2025VND
,,,TÀI SẢN NGẮN HẠN,TÀI SẢN NGẮN HẠN,TÀI SẢN NGẮN HẠN,TÀI SẢN NGẮN HẠN,TÀI SẢN NGẮN HẠN,,,,,
A - (100=110+120+130+140+150),A - (100=110+120+130+140+150),A - (100=110+120+130+140+150),A - (100=110+120+130+140+150),100,,5.912.766.642.502,6.280.148.452.585,,100.0,,5912766642502.0,6280148452585.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,5.1,312.706.806.097,1.971.403.413,,110.0,51.0,312706806097.0,1971403413.0
1.,1.,1.,Tiền,111,,312.706.806.097,1.971.403.413,,111.0,,312706806097.0,1971403413.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,26.964.346.457,6.703.796.538,,120.0,,26964346457.0,6703796538.0
3.,3.,3.,Đầu tư nắm giữ đến ngày đáo hạn,123,5.2,26.964.346.457,6.703.796.538,,123.0,52.0,26964346457.0,6703796538.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,3.140.484.083.098,3.555.026.920.305,,130.0,,3140484083098.0,3555026920305.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,5.3,70.637.939.222,88.429.160.336,,131.0,53.0,70637939222.0,88429160336.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,5.4,1.382.169.276.577,1.160.759.858.102,,132.0,54.0,1382169276577.0,1160759858102.0
5.,5.,5.,Phải thu về cho vay ngắn hạn,135,5.5,42.998.887.000,519.831.582.432,,135.0,55.0,42998887000.0,519831582432.0
6.,6.,6.,Phải thu ngắn hạn khác,136,5.6,1.748.172.660.300,1.874.500.999.436,,136.0,56.0,1748172660300.0,1874500999436.0
7.,7.,7.,Dự phòng phải thu ngắn hạn khó đòi,137,5.7,(103.494.680.001),(88.494.680.001),,137.0,57.0,-103494680001.0,-88494680001.0
IV.,IV.,IV.,Hàng tồn kho,140,5.8,2.404.481.525.778,2.697.132.182.543,,140.0,58.0,2404481525778.0,2697132182543.0
1.,1.,1.,Hàng tồn kho,141,,2.404.481.525.778,2.697.132.182.543,,141.0,,2404481525778.0,2697132182543.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,28.129.881.072,19.314.149.786,,150.0,,28129881072.0,19314149786.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,5.9,6.598.063.448,2.352.695.567,,151.0,59.0,6598063448.0,2352695567.0
2.,2.,2.,Thuế GTGT được khấu trừ,152,,21.530.046.917,16.959.683.512,,152.0,,21530046917.0,16959683512.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,5.17,1.770.707,1.770.707,,153.0,517.0,1770707.0,1770707.0
B -,B -,B -,TÀI SẢN DÀI HẠN(200=210+220+230+240+250+260),200,,2.563.051.102.101,1.421.453.054.164,,200.0,,2563051102101.0,1421453054164.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,1.107.910.351.694,713.701.248.117,,210.0,,1107910351694.0,713701248117.0
5.,5.,5.,Phải thu về cho vay dài hạn,215,5.5,126.683.215.148,146.468.248.117,,215.0,55.0,126683215148.0,146468248117.0
6.,6.,6.,Phải thu dài hạn khác,216,5.6,981.227.136.546,567.233.000.000,,216.0,56.0,981227136546.0,567233000000.0
II.,II.,II.,Tài sản cố định,220,,1.296.097.311,54.638.520.999,,220.0,,1296097311.0,54638520999.0
1.,1.,1.,Tài sản cố định hữu hình,221,5.10,1.296.097.311,54.638.520.999,,221.0,510.0,1296097311.0,54638520999.0
,,,- Nguyên giá,222,,15.912.540.059,83.321.748.915,,222.0,,15912540059.0,83321748915.0
,,,- Giá trị hao mòn lũy kế,223,,(14.616.442.748),(28.683.227.916),,223.0,,-14616442748.0,-28683227916.0
3.,3.,3.,Tài sản cố định vô hình,227,5.11,,,,227.0,511.0,,
,,,- Nguyên giá,228,,183.000.000,294.500.000,,228.0,,183000000.0,294500000.0
,,,- Giá trị hao mòn lũy kế,229,,(183.000.000),(294.500.000),,229.0,,-183000000.0,-294500000.0
III.,III.,III.,Bất động sản đầu tư,230,5.12,416.896.642.636,551.836.707.284,,230.0,512.0,416896642636.0,551836707284.0
1.,1.,1.,Nguyên giá,231,,521.621.798.713,678.916.528.053,,231.0,,521621798713.0,678916528053.0
2.,2.,2.,Giá trị hao mòn lũy kế,232,,(104.725.156.077),(127.079.820.769),,232.0,,-104725156077.0,-127079820769.0
IV.,IV.,IV.,Tài sản dở dang dài hạn,240,5.13,,5.947.304.545,,240.0,513.0,,5947304545.0
2.,2.,2.,Chi phí xây dựng cơ bản dở dang,242,,,5.947.304.545,,242.0,,,5947304545.0
V.,V.,V.,Các khoản đầu tư tài chính dài hạn,250,5.14,1.029.488.898.887,86.264.066.926,,250.0,514.0,1029488898887.0,86264066926.0
2.,2.,2.,"Đầu tư vào công ty liên kết, liên doanh",252,,999.171.618.058,55.946.786.097,,252.0,,999171618058.0,55946786097.0
3.,3.,3.,Đầu tư góp vốn vào đơn vị khác,253,,30.317.280.829,30.317.280.829,,253.0,,30317280829.0,30317280829.0
VI.,VI.,VI.,Tài sản dài hạn khác,260,,7.459.111.573,9.065.206.293,,260.0,,7459111573.0,9065206293.0
1.,1.,1.,Chi phí trả trước dài hạn,261,5.9,6.765.161.557,8.021.105.166,,261.0,59.0,6765161557.0,8021105166.0
2.,2.,2.,Tài sản thuế thu nhập hoãn lại,262,,693.950.016,1.044.101.127,,262.0,,693950016.0,1044101127.0
TỔNG CỘNG TÀI SẢN(270 = 100+200),TỔNG CỘNG TÀI SẢN(270 = 100+200),TỔNG CỘNG TÀI SẢN(270 = 100+200),TỔNG CỘNG TÀI SẢN(270 = 100+200),270,,8.475.817.744.603,7.701.601.506.749,,270.0,,8475817744603.0,7701601506749.0
