row_label_raw,row_label_full,Chỉ tiêu,Hoạt động kinh doanh bất động sản và các dịch vụ liên quan,Hoạt động xây lắp,Tổng,numeric__Hoạt động kinh doanh bất động sản và các dịch vụ liên quan,numeric__Hoạt động xây lắp,numeric__Tổng
Doanh thu,Doanh thu,Doanh thu,1.615.671.932.877,-,1.615.671.932.877,1615671932877.0,,1615671932877.0
Giá vốn,Giá vốn,Giá vốn,(1.097.119.148.438),-,(1.097.119.148.438),-1097119148438.0,,-1097119148438.0
Doanh thu tài chính,Doanh thu tài chính,Doanh thu tài chính,61.531.724.517,-,61.531.724.517,61531724517.0,,61531724517.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,(273.364.745.530),-,(273.364.745.530),-273364745530.0,,-273364745530.0
"Phần lãi (lỗ) trong công ty liên doanh, liên kết","Phần lãi (lỗ) trong công ty liên doanh, liên kết","Phần lãi (lỗ) trong công ty liên doanh, liên kết",-,,-,,,
Lợi nhuận khác không liên quan đến hoạt động SXKD,"Phần lãi (lỗ) trong công ty liên doanh, liên kết > Lợi nhuận khác không liên quan đến hoạt động SXKD",Lợi nhuận khác không liên quan đến hoạt động SXKD,12177803381,-,12.177.803.381,12177803381.0,,12177803381.0
Chi phí bán hàng,"Phần lãi (lỗ) trong công ty liên doanh, liên kết > Chi phí bán hàng",Chi phí bán hàng,(109.149.970.299),-,(109.149.970.299),-109149970299.0,,-109149970299.0
Chi phí quản lý doanh nghiệp (không phân bổ),"Phần lãi (lỗ) trong công ty liên doanh, liên kết > Chi phí quản lý doanh nghiệp (không phân bổ)",Chi phí quản lý doanh nghiệp (không phân bổ),(102.308.165.963),-,(102.308.165.963),-102308165963.0,,-102308165963.0
Thuế TNDN hiện hành,"Phần lãi (lỗ) trong công ty liên doanh, liên kết > Thuế TNDN hiện hành",Thuế TNDN hiện hành,(42.742.524.889),-,(42.742.524.889),-42742524889.0,,-42742524889.0
Thuế TNDN hoãn lại,"Phần lãi (lỗ) trong công ty liên doanh, liên kết > Thuế TNDN hoãn lại",Thuế TNDN hoãn lại,(3.231.898.925),,(3.231.898.925),-3231898925.0,,-3231898925.0
Lợi nhuận trong năm,"Phần lãi (lỗ) trong công ty liên doanh, liên kết > Lợi nhuận trong năm",Lợi nhuận trong năm,61.465.006.731,-,61.465.006.731,61465006731.0,,61465006731.0
