row_label_raw,row_label_full,col_0,Năm 2025VND,Năm 2024VND,numeric__Năm 2025VND,numeric__Năm 2024VND
Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,,
Thu từ cho thuê hoạt động,Thu nhập khác > Thu từ cho thuê hoạt động,Thu từ cho thuê hoạt động,326.580.266,7.746.773.951,326580266.0,7746773951.0
Thu thanh lý tài sản,Thu nhập khác > Thu thanh lý tài sản,Thu thanh lý tài sản,-,85.000.000,,85000000.0
"Tiền được bồi thường, phạt vi phạm hợp đồng","Thu nhập khác > Tiền được bồi thường, phạt vi phạm hợp đồng","Tiền được bồi thường, phạt vi phạm hợp đồng",362.201.588,12.789.334.512,362201588.0,12789334512.0
Thu nhập khác,Thu nhập khác > Thu nhập khác,Thu nhập khác,7.459.827.463,92.485.776,7459827463.0,92485776.0
Tổng,Thu nhập khác > Tổng,Tổng,8.148.609.317,20.713.594.239,8148609317.0,20713594239.0
Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,,
Chi phí nộp phạt thuế và phạt vi phạm hành chính,Chi phí khác > Chi phí nộp phạt thuế và phạt vi phạm hành chính,Chi phí nộp phạt thuế và phạt vi phạm hành chính,4.857.235.863,7.466.786.332,4857235863.0,7466786332.0
Phạt thanh lý hợp đồng,Chi phí khác > Phạt thanh lý hợp đồng,Phạt thanh lý hợp đồng,20.700.000.000,768.742.000,20700000000.0,768742000.0
Chi phí khác,Chi phí khác > Chi phí khác,Chi phí khác,297.952.050,300.262.526,297952050.0,300262526.0
Tổng,Chi phí khác > Tổng,Tổng,25.855.187.913,8.535.790.858,25855187913.0,8535790858.0
Lợi nhuận khác,Chi phí khác > Lợi nhuận khác,Lợi nhuận khác,(17.706.578.596),12.177.803.381,-17706578596.0,12177803381.0
