row_label_raw,row_label_full,STT,Tên Công ty,31/12/2025 > Tỷ lệ Vốnnấm giữ,31/12/2025 > Tỷ lệ quyềnbiểu quyết,31/12/2025 > Giá gốc,31/12/2025 > Giá trị theo phươngpháp vốn chủ,01/01/2025 > Tỷ lệ Vớnnấm giữ,01/01/2025 > Tỷ lệ quyềnbiểu quyết,01/01/2025 > Giá gốc,01/01/2025 > Giá trị theo phươngpháp vốn chủ,numeric__Tên Công ty,numeric__31/12/2025 > Tỷ lệ Vốnnấm giữ,numeric__31/12/2025 > Tỷ lệ quyềnbiểu quyết,numeric__31/12/2025 > Giá gốc,numeric__31/12/2025 > Giá trị theo phươngpháp vốn chủ,numeric__01/01/2025 > Tỷ lệ Vớnnấm giữ,numeric__01/01/2025 > Tỷ lệ quyềnbiểu quyết,numeric__01/01/2025 > Giá gốc,numeric__01/01/2025 > Giá trị theo phươngpháp vốn chủ
I,I,I,Đầu tư vào Công ty liên doanh liên kết,,,980.646.786.097,999.171.618.058,,,55.946.786.097,55.946.786.097,,,,980646786097.0,999171618058.0,,,55946786097.0,55946786097.0
1,1,1,Công ty TNHH BT Hà Đông,"50,00%","50,00%",55.946.786.097,55.946.786.097,50%,50%,55.946.786.097,55.946.786.097,,0.5,0.5,55946786097.0,55946786097.0,0.5,0.5,55946786097.0,55946786097.0
2,2,2,Công ty Cổ phần Đầu tư Greenland Holdings (1),"20,00%","20,00%",27.200.000.000,27.200.000.000,,,-,-,,0.2,0.2,27200000000.0,27200000000.0,,,,
3,3,3,Công ty Cổ phần Hải Phát - Retail (2),"48,51%","48,51%",897.500.000.000,916.024.831.961,,,-,-,,0.4851,0.4851,897500000000.0,916024831961.0,,,,
,,,Tổng,,,980.646.786.097,999.171.618.058,,,55.946.786.097,55.946.786.097,,,,980646786097.0,999171618058.0,,,55946786097.0,55946786097.0
,,,,,,31/12/2025,31/12/2025,01/01/2025,01/01/2025,01/01/2025,01/01/2025,,,,,,,,,
STT,STT,STT,Tên Công ty,Tỷ lệ Vớnnấm giữ,Tỷ lệ quyềnbiểu quyết,Giá gốc,Giá trịhợp lý,Dự phòng,Tỷ lệ Vớnnấm giữ,Tỷ lệ quyềnbiểu quyết,Giá trịhợp lý,,,,,,,,,
I,STT > I,I,Đầu tư góp vốn vào đơn vị khác,,,30.317.280.829,,-,,30.317.280.829,,,,,30317280829.0,,,,30317280829.0,
1,STT > 1,1,Công ty TNHH HP HospitalityNha Trang,"4,50%","4,50%",30.317.280.829,,-,"4,50%","4,50%",30.317.280.829,,0.045,0.045,30317280829.0,,,0.045,0.045,30317280829.0
,,,Tổng,,,30.317.280.829 (*),,-,,30.317.280.829 (*),,,,,,,,,,
