row_label_raw,row_label_full,Họ và tên,Chức danh,Năm 2025 VND,Năm 2024 VND,numeric__Chức danh,numeric__Năm 2025 VND,numeric__Năm 2024 VND
Ông Đỗ Quý Hải,Ông Đỗ Quý Hải,Ông Đỗ Quý Hải,Chủ tịch HĐQT,1.440.000.000,-,,1440000000.0,
Ông Nguyễn Văn Phương,Ông Nguyễn Văn Phương,Ông Nguyễn Văn Phương,"Phó Chủ tịch HĐQT, Tổng Giám đốc",1.201.800.266,508.912.267,,1201800266.0,508912267.0
Ông Nguyễn Văn Dũng,Ông Nguyễn Văn Dũng,Ông Nguyễn Văn Dũng,Phó Chủ tịch HĐQT,360.000.000,-,,360000000.0,
Ông Lê Thanh Hải,Ông Lê Thanh Hải,Ông Lê Thanh Hải,"Thành viên HĐQT, Phó Tổng Giám đốc",1.387.535.773,884.105.391,,1387535773.0,884105391.0
Ông Lê Quang Vinh,Ông Lê Quang Vinh,Ông Lê Quang Vinh,Thành viên HĐQT độc lập,240.000.000,160.000.000,,240000000.0,160000000.0
Ông Bùi Đức Tuế,Ông Bùi Đức Tuế,Ông Bùi Đức Tuế,Trường BKS (Miễn nhiệm ngày 26/4/2024),-,80.000.000,,,80000000.0
Ông Đỗ Mạnh Quân,Ông Đỗ Mạnh Quân,Ông Đỗ Mạnh Quân,Trường BKS,240.000.000,200.000.000,,240000000.0,200000000.0
Ông Lê Mạnh Hùng,Ông Lê Mạnh Hùng,Ông Lê Mạnh Hùng,Thành viên BKS,120.000.000,120.000.000,,120000000.0,120000000.0
Ông Chu Việt Hùng,Ông Chu Việt Hùng,Ông Chu Việt Hùng,Thành viên BKS,120.000.000,80.000.000,,120000000.0,80000000.0
,,,Tổng Giám đốc (Miễn nhiệm ngày 03/5/2024),-,603.409.294,,,603409294.0
Ông Đoàn Hoà Thuận,Ông Đoàn Hoà Thuận,Ông Đoàn Hoà Thuận,Phó Tổng Giám đốc (Miễn nhiệm ngày 27/03/2024),-,150.470.531,,,150470531.0
Đỗ Quý Thành,Đỗ Quý Thành,Đỗ Quý Thành,Phó Tổng Giám đốc,720.780.238,656.977.833,,720780238.0,656977833.0
Ông Nguyễn Ngọc Thám,Ông Nguyễn Ngọc Thám,Ông Nguyễn Ngọc Thám,Phó Tổng Giám đốc,706.029.804,149.269.812,,706029804.0,149269812.0
Ông Nguyễn Việt Đức,Ông Nguyễn Việt Đức,Ông Nguyễn Việt Đức,Phó Tổng Giám đốc (Miễn nhiệm ngày 16/08/2024),-,273.082.278,,,273082278.0
Ông Nguyễn Mạnh Tiến,Ông Nguyễn Mạnh Tiến,Ông Nguyễn Mạnh Tiến,Kế toán trường (Miễn nhiệm ngày 04/09/2024),-,450.080.019,,,450080019.0
Bà Nguyễn Thị Phương Nga,Bà Nguyễn Thị Phương Nga,Bà Nguyễn Thị Phương Nga,Kế toán trường,755.163.831,220.886.181,,755163831.0,220886181.0
Tổng,Tổng,Tổng,,7.291.309.912,4.537.193.606,,7291309912.0,4537193606.0
