row_label_raw,row_label_full,Chỉ tiêu,Hoạt động kinh doanh bất động sản và các dịch vụ liên quan,Hoạt động xây lắp,Tổng,numeric__Hoạt động kinh doanh bất động sản và các dịch vụ liên quan,numeric__Hoạt động xây lắp,numeric__Tổng
TẢI SẢN,TẢI SẢN,TẢI SẢN,TẢI SẢN,TẢI SẢN,TẢI SẢN,,,
Phải thu khách hàng,TẢI SẢN > Phải thu khách hàng,Phải thu khách hàng,88.429.160.336,-,88.429.160.336,88429160336.0,,88429160336.0
Hàng tồn kho,TẢI SẢN > Hàng tồn kho,Hàng tồn kho,2.518.970.183.168,178.161.999.375,2.697.132.182.543,2518970183168.0,178161999375.0,2697132182543.0
Trả trước cho người bán,TẢI SẢN > Trả trước cho người bán,Trả trước cho người bán,277.927.196.613,882.832.661.489,1.160.759.858.102,277927196613.0,882832661489.0,1160759858102.0
Các tài sản khác,TẢI SẢN > Các tài sản khác,Các tài sản khác,3.755.280.305.768,-,3.755.280.305.768,3755280305768.0,,3755280305768.0
Tổng tài sản,TẢI SẢN > Tổng tài sản,Tổng tài sản,,,7.701.601.506.749,,,7701601506749.0
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,
Các khoản phải trả,NỘ PHẢI TRẢ > Các khoản phải trả,Các khoản phải trả,3.182.403.401.722,5.956.331.783,3.188.359.733.505,3182403401722.0,5956331783.0,3188359733505.0
Các khoản phải trả không phân bổ,NỘ PHẢI TRẢ > Các khoản phải trả không phân bổ,Các khoản phải trả không phân bổ,,,879.268.125.855,,,879268125855.0
Tổng nợ phải trả,NỘ PHẢI TRẢ > Tổng nợ phải trả,Tổng nợ phải trả,,,4.067.627.859.360,,,4067627859360.0
