row_label_raw,row_label_full,Chỉ tiêu,Hoạt động kinh doanh bất động sản và các dịch vụ liên quan,Hoạt động xây lắp,Tổng,numeric__Hoạt động kinh doanh bất động sản và các dịch vụ liên quan,numeric__Hoạt động xây lắp,numeric__Tổng
Doanh thu,Doanh thu,Doanh thu,915.567.710.537,227.171.600.000,1.142.739.310.537,915567710537.0,227171600000.0,1142739310537.0
Giá vốn,Giá vốn,Giá vốn,(556.642.236.162),(239.740.950.336),(796.383.186.498),-556642236162.0,-239740950336.0,-796383186498.0
Doanh thu tài chính,Doanh thu tài chính,Doanh thu tài chính,94.114.171.236,-,94.114.171.236,94114171236.0,,94114171236.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,(175.167.439.806),-,(175.167.439.806),-175167439806.0,,-175167439806.0
"Phần lãi (lỗ) trong công ty liên doanh, liên kết","Phần lãi (lỗ) trong công ty liên doanh, liên kết","Phần lãi (lỗ) trong công ty liên doanh, liên kết",(99.134.803),,(99.134.803),-99134803.0,,-99134803.0
Lợi nhuận khác không liên quan đến hoạt động SXKD,Lợi nhuận khác không liên quan đến hoạt động SXKD,Lợi nhuận khác không liên quan đến hoạt động SXKD,(17.706.578.596),-,(17.706.578.596),-17706578596.0,,-17706578596.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,(2.348.779.743),-,(2.348.779.743),-2348779743.0,,-2348779743.0
Chi phí quản lý doanh nghiệp (không phân bổ),Chi phí quản lý doanh nghiệp (không phân bổ),Chi phí quản lý doanh nghiệp (không phân bổ),(61.433.437.892),-,(61.433.437.892),-61433437892.0,,-61433437892.0
Thuế TNDN hiện hành,Thuế TNDN hiện hành,Thuế TNDN hiện hành,(58.426.275.189),-,(58.426.275.189),-58426275189.0,,-58426275189.0
Thuế TNDN hoãn lại,Thuế TNDN hoãn lại,Thuế TNDN hoãn lại,(350.151.111),,(350.151.111),-350151111.0,,-350151111.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,137.507.848.471,(12.569.350.336),124.938.498.135,137507848471.0,-12569350336.0,124938498135.0
