row_label_raw,row_label_full,Chỉ tiêu,Hoạt động kinh doanh bất động sản và các dịch vụ liên quan,Hoạt động xây lắp,Tổng,numeric__Hoạt động kinh doanh bất động sản và các dịch vụ liên quan,numeric__Hoạt động xây lắp,numeric__Tổng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
Phải thu khách hàng,TÀI SẢN > Phải thu khách hàng,Phải thu khách hàng,50.844.546.222,19.793.393.000,70.637.939.222,50844546222.0,19793393000.0,70637939222.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,2.402.835.511.716,1.646.014.062,2.404.481.525.778,2402835511716.0,1646014062.0,2404481525778.0
Trả trước cho người bán,TÀI SẢN > Trả trước cho người bán,Trả trước cho người bán,401.613.516.825,980.555.759.752,1.382.169.276.577,401613516825.0,980555759752.0,1382169276577.0
Các tài sản khác,TÀI SẢN > Các tài sản khác,Các tài sản khác,4.618.529.003.026,-,4.618.529.003.026,4618529003026.0,,4618529003026.0
Tổng tài sản,TÀI SẢN > Tổng tài sản,Tổng tài sản,,,8.475.817.744.603,,,8475817744603.0
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,
Các khoản phải trả,NỘ PHẢI TRẢ > Các khoản phải trả,Các khoản phải trả,4.421.988.995.554,387.415.794,4.422.376.411.348,4421988995554.0,387415794.0,4422376411348.0
Phải trả không phân bổ,NỘ PHẢI TRẢ > Phải trả không phân bổ,Phải trả không phân bổ,-,-,500.000.000.000,,,500000000000.0
Tổng nợ phải trả,NỘ PHẢI TRẢ > Tổng nợ phải trả,Tổng nợ phải trả,,,4.922.376.411.348,,,4922376411348.0
