row_label_raw,row_label_full,Biên liên quan,Tính chất giao dịch,Năm 2025 VND,Năm 2024 VND,numeric__Tính chất giao dịch,numeric__Năm 2025 VND,numeric__Năm 2024 VND
Bán hàng,Bán hàng,Bán hàng,,14.994.119.353,3.803.183.128,,14994119353.0,3803183128.0
Công ty Cienco 5,Công ty Cienco 5,Công ty Cienco 5,Tiền gửi xe,836.364,20.800.001,,836364.0,20800001.0
Công ty Yên Sơn,Công ty Yên Sơn,Công ty Yên Sơn,Doanh thu hoạt động cho thuê và hoạt động tư vấn,1.582.200.626,128.181.818,,1582200626.0,128181818.0
Công ty Tập đoàn Hải Phát Land,Công ty Tập đoàn Hải Phát Land,Công ty Tập đoàn Hải Phát Land,Doanh thu hoạt động cho thuê và hoạt động tư vấn,120.553.089,58.890.911,,120553089.0,58890911.0
Công ty PSP,Công ty PSP,Công ty PSP,"Doanh thu thuê mặt bằng, phí dịch vụ, tiền gửi xe",2.923.386.942,231.859.738,,2923386942.0,231859738.0
Công ty Hải Phát Retail,Công ty Hải Phát Retail,Công ty Hải Phát Retail,"Doanh thu khai thác tầng hầm, phí quản lý vận hành",361.228.821,-,,361228821.0,
Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,"Doanh thu thuê mặt bằng, phí dịch vụ, tiền gửi xe",-,2.055.288.842,,,2055288842.0
Ông Nguyễn Ngọc Thám,Ông Nguyễn Ngọc Thám,Ông Nguyễn Ngọc Thám,Chuyển nhượng BĐS,4.586.616.552,-,,4586616552.0,
Ông Lê Thanh Hải,Ông Lê Thanh Hải,Ông Lê Thanh Hải,Chuyển nhượng BĐS,4.980.967.868,-,,4980967868.0,
Bà Nguyễn Thị Ngọc Anh,Bà Nguyễn Thị Ngọc Anh,Bà Nguyễn Thị Ngọc Anh,Chuyển nhượng BĐS,438.329.091,1.308.161.818,,438329091.0,1308161818.0
Mua hàng,Mua hàng,Mua hàng,,4.648.119.856,923.191.830,,4648119856.0,923191830.0
Công ty Cienco 5,Công ty Cienco 5,Công ty Cienco 5,Chi phí xây dựng,266.081.771,-,,266081771.0,
Công ty PSP,Công ty PSP,Công ty PSP,Phí dịch vụ quản lý tòa nhà,4.012.647.674,923.191.830,,4012647674.0,923191830.0
Công ty Tập đoàn Hải Phát Land,Công ty Tập đoàn Hải Phát Land,Công ty Tập đoàn Hải Phát Land,Chi phí môi giới,23.839.285,-,,23839285.0,
Công ty Hải Phát Retail,Công ty Hải Phát Retail,Công ty Hải Phát Retail,"Phí thuê mặt bằng, phí điện, nước, tiền gửi xe, phí dịch vụ",345.551.126,-,,345551126.0,
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,,1.738.672.323,585.436.219,,1738672323.0,585436219.0
Ông Lê Thanh Hải,Ông Lê Thanh Hải,Ông Lê Thanh Hải,Lãi vay,785.850.000,157.600.603,,785850000.0,157600603.0
Bà Nguyễn Thị Phương Nga,Bà Nguyễn Thị Phương Nga,Bà Nguyễn Thị Phương Nga,Lãi vay,465.349.676,427.835.616,,465349676.0,427835616.0
Công ty Hải Phát Retail,Công ty Hải Phát Retail,Công ty Hải Phát Retail,Lãi thỏa thuận quản lý vốn tập trung,487.472.647,-,,487472647.0,
Giao dịch khác,Giao dịch khác,Giao dịch khác,,149.290.683.827,2.625.000.000,,149290683827.0,2625000000.0
Công ty HPH,Công ty HPH,Công ty HPH,Phải thu khác,-,2.625.000.000,,,2625000000.0
Công ty Tập đoàn Hải Phát Land,Công ty Tập đoàn Hải Phát Land,Công ty Tập đoàn Hải Phát Land,Tiền báo đảm,121.563.000.000,-,,121563000000.0,
Công ty Hải Phát Retail,Công ty Hải Phát Retail,Công ty Hải Phát Retail,Nhận tiền quản lý vốn tập trung,4.350.000.000,-,,4350000000.0,
Công ty Hải Phát Retail,Công ty Hải Phát Retail,Công ty Hải Phát Retail,"Chuyển trả, bù trừ tiền quản lý vốn tập trung",23.377.683.827,-,,23377683827.0,
