row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiện vậntải, truyền dẫn","Thiết bị,dụng cụ quản lý",Tổng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiện vậntải, truyền dẫn","numeric__Thiết bị,dụng cụ quản lý",numeric__Tổng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số dư tại 01/01/2025,NGUYÊN GIÁ > Số dư tại 01/01/2025,Số dư tại 01/01/2025,59.031.023.459,9.724.127.215,12.187.950.909,2.378.647.332,83.321.748.915,59031023459.0,9724127215.0,12187950909.0,2378647332.0,83321748915.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,-,859.069.091,97.500.000,956.569.091,,,859069091.0,97500000.0,956569091.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,-,859.069.091,97.500.000,956.569.091,,,859069091.0,97500000.0,956569091.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,59.031.023.459,9.334.754.488,-,-,68.365.777.947,59031023459.0,9334754488.0,,,68365777947.0
Giảm do giảm tỷ lệ sở hữu tại công ty con thành công ty liên kết,NGUYÊN GIÁ > Giảm do giảm tỷ lệ sở hữu tại công ty con thành công ty liên kết,Giảm do giảm tỷ lệ sở hữu tại công ty con thành công ty liên kết,59.031.023.459,9.334.754.488,-,-,68.365.777.947,59031023459.0,9334754488.0,,,68365777947.0
Số dư tại 31/12/2025,NGUYÊN GIÁ > Số dư tại 31/12/2025,Số dư tại 31/12/2025,-,389.372.727,13.047.020.000,2.476.147.332,15.912.540.059,,389372727.0,13047020000.0,2476147332.0,15912540059.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,
Số dư tại 01/01/2025,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 01/01/2025,Số dư tại 01/01/2025,10.041.801.703,4.642.765.523,11.709.300.158,2.289.360.532,28.683.227.916,10041801703.0,4642765523.0,11709300158.0,2289360532.0,28683227916.0
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,1.181.172.648,515.899.517,268.700.910,41.643.467,2.007.416.542,1181172648.0,515899517.0,268700910.0,41643467.0,2007416542.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,1.181.172.648,515.899.517,268.700.910,41.643.467,2.007.416.542,1181172648.0,515899517.0,268700910.0,41643467.0,2007416542.0
Giảm trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm trong năm,Giảm trong năm,11.222.974.351,4.851.227.359,-,-,16.074.201.710,11222974351.0,4851227359.0,,,16074201710.0
Giảm do giảm tỷ lệ sở hữu tại công ty con thành công ty liên kết,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm do giảm tỷ lệ sở hữu tại công ty con thành công ty liên kết,Giảm do giảm tỷ lệ sở hữu tại công ty con thành công ty liên kết,11.222.974.351,4.851.227.359,-,-,16.074.201.710,11222974351.0,4851227359.0,,,16074201710.0
Số dư tại 31/12/2025,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 31/12/2025,Số dư tại 31/12/2025,-,307.437.681,11.978.001.068,2.331.003.999,14.616.442.748,,307437681.0,11978001068.0,2331003999.0,14616442748.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại 01/01/2025,GIÁ TRỊ CÒN LẠI > Tại 01/01/2025,Tại 01/01/2025,48.989.221.756,5.081.361.692,478.650.751,89.286.800,54.638.520.999,48989221756.0,5081361692.0,478650751.0,89286800.0,54638520999.0
Tại 31/12/2025,GIÁ TRỊ CÒN LẠI > Tại 31/12/2025,Tại 31/12/2025,-,81.935.046,1.069.018.932,145.143.333,1.296.097.311,,81935046.0,1069018932.0,145143333.0,1296097311.0
