row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Năm 2019,Năm 2018,numeric__CHỈ TIÊU,numeric__Mã số,numeric__Năm 2019,numeric__Năm 2018
I.,I.,I.,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
1.,I. > 1.,1.,Lợi nhuận trước thuế,01,13.386.550.055,22.522.669.162,,1.0,13386550055.0,22522669162.0
2.,2.,2.,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,,,,
,,,- Khấu hao TSCĐ và BĐSĐT,02,545.689.278,856.266.553,,2.0,545689278.0,856266553.0
,,,"- Lãi, lỗ từ hoạt động đầu tư",05,(25.272.974.494),(12.668.805),,5.0,-25272974494.0,-12668805.0
,,,- Chi phí lãi vay,06,546.202.719,,,6.0,546202719.0,
3.,2. > 3.,3.,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,(10.794.532.442),23.366.266.910,,8.0,-10794532442.0,23366266910.0
,,,"- Tăng, giảm các khoản phải thu",09,31.515.478.056,(74.057.498.418),,9.0,31515478056.0,-74057498418.0
,,,"- Tăng, giảm hàng tồn kho",10,-,76.257.455,,10.0,,76257455.0
,,,"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,(39.564.624.745),91.582.115.604,,11.0,-39564624745.0,91582115604.0
,,,"- Tăng, giảm chi phí trả trước",12,407.408.316,(118.010.865),,12.0,407408316.0,-118010865.0
,,,- Tiền lãi vay đã trả,14,(546.202.719),,,14.0,-546202719.0,
,,,- Thuế thu nhập doanh nghiệp đã nộp,15,(6.083.261.525),(3.937.023.670),,15.0,-6083261525.0,-3937023670.0
,,,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,(25.065.735.059),36.912.107.016,,20.0,-25065735059.0,36912107016.0
II.,II.,II.,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
1.,II. > 1.,1.,"Tiền chỉ để mua sắm, xây dựng TSCĐ và các TSDH khác",21,(86.816.200),(379.443.955.773),,21.0,-86816200.0,-379443955773.0
2.,II. > 2.,2.,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,-,281.000.000.000,,24.0,,281000000000.0
3.,II. > 3.,3.,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,-,80.000.000.000,,26.0,,80000000000.0
4.,II. > 4.,4.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,1.385.474.494,,,27.0,1385474494.0,
,,,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,1.298.658.294,(18.443.955.773),,30.0,1298658294.0,-18443955773.0
III.,III.,III.,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
1.,III. > 1.,1.,Tiền thu từ đi vay,33,18.200.000.000,-,,33.0,18200000000.0,
,,,Lưu chuyển tiền thuần từ hoạt động tài chính,40,18.200.000.000,-,,40.0,18200000000.0,
,,,Lưu chuyển tiền thuần trong năm,50,(5.567.076.765),18.468.151.243,,50.0,-5567076765.0,18468151243.0
,,,Tiền và tương đương tiền đầu năm,60,24.858.192.738,6.390.041.495,,60.0,24858192738.0,6390041495.0
,,,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,-,-,,61.0,,
,,,Tiền và tương đương tiền cuối năm,70,19.291.115.973,24.858.192.738,,70.0,19291115973.0,24858192738.0
