row_label_raw,row_label_full,col_0,Phần mềmkế toánVND,numeric__Phần mềmkế toánVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,
Tại ngày 01/01/2019,NGUYÊN GIÁ > Tại ngày 01/01/2019,Tại ngày 01/01/2019,221.215.500,221215500.0
Tại ngày 31/12/2019,NGUYÊN GIÁ > Tại ngày 31/12/2019,Tại ngày 31/12/2019,221.215.500,221215500.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,
Tại ngày 01/01/2019,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 01/01/2019,Tại ngày 01/01/2019,86.028.250,86028250.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,73.738.500,73738500.0
Tại ngày 31/12/2019,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 31/12/2019,Tại ngày 31/12/2019,159.766.750,159766750.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,
Tại ngày 01/01/2019,GIÁ TRỊ CÒN LẠI > Tại ngày 01/01/2019,Tại ngày 01/01/2019,135.187.250,135187250.0
Tại ngày 31/12/2019,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2019,Tại ngày 31/12/2019,61.448.750,61448750.0
