row_label_raw,row_label_full,col_0,31/12/2019 > Giá trị ghi số VND,31/12/2019 > Dự phòng VND,01/01/2019 > Giá trị ghi số VND,01/01/2019 > Dự phòng VND,numeric__31/12/2019 > Giá trị ghi số VND,numeric__31/12/2019 > Dự phòng VND,numeric__01/01/2019 > Giá trị ghi số VND,numeric__01/01/2019 > Dự phòng VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,36.761.305.610,-,3.920.657.043,-,36761305610.0,,3920657043.0,
Tạm ứng,Tạm ứng,Tạm ứng,10.716.368.041,-,3.018.239.961,-,10716368041.0,,3018239961.0,
Ký quỹ ký cược ngắn hạn,Ký quỹ ký cược ngắn hạn,Ký quỹ ký cược ngắn hạn,2.050.000.000,-,800.000.000,-,2050000000.0,,800000000.0,
Phải thu lãi cho vay (b),Phải thu lãi cho vay (b),Phải thu lãi cho vay (b),23.887.500.000,-,-,-,23887500000.0,,,
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,107.437.569,-,102.417.082,-,107437569.0,,102417082.0,
Dài hạn,Dài hạn,Dài hạn,516.656.437.000,-,517.425.101.000,-,516656437000.0,,517425101000.0,
Ký quỹ thực hiện dự án (a),Ký quỹ thực hiện dự án (a),Ký quỹ thực hiện dự án (a),21.500.000.000,-,21.500.000.000,-,21500000000.0,,21500000000.0,
Ký quỹ môi giới bắt động sản,Ký quỹ môi giới bắt động sản,Ký quỹ môi giới bắt động sản,3.100.000.000,-,3.600.000.000,-,3100000000.0,,3600000000.0,
Đặt cọc tiền thuê văn phòng,Đặt cọc tiền thuê văn phòng,Đặt cọc tiền thuê văn phòng,2.036.437.000,-,2.310.101.000,-,2036437000.0,,2310101000.0,
Công ty TNHH Tập đoàn,Công ty TNHH Tập đoàn,Công ty TNHH Tập đoàn,490.000.000.000,-,490.000.000.000,-,490000000000.0,,490000000000.0,
Khải Hoàn - Vũng Tàu (b),Khải Hoàn - Vũng Tàu (b),Khải Hoàn - Vũng Tàu (b),,,,,,,,
Phải thu dài hạn khác,Khải Hoàn - Vũng Tàu (b) > Phải thu dài hạn khác,Phải thu dài hạn khác,20.000.000,-,15.000.000,-,20000000.0,,15000000.0,
Cộng,Khải Hoàn - Vũng Tàu (b) > Cộng,Cộng,553.417.742.610,-,521.345.758.043,-,553417742610.0,,521345758043.0,
