row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,31/12/2019,01/01/2019,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2019,numeric__01/01/2019
C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,300,,138.335.012.709,162.558.141.262,300.0,,138335012709.0,162558141262.0
I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,,109.135.012.709,151.558.141.262,310.0,,109135012709.0,151558141262.0
1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,311,15,406.297.636,2.542.480.076,311.0,15.0,406297636.0,2542480076.0
2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,312,16,59.529.948.562,72.269.090,312.0,16.0,59529948562.0,72269090.0
3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,313,14,7.132.494.924,8.817.438.496,313.0,14.0,7132494924.0,8817438496.0
4. Phải trả người lao động,4. Phải trả người lao động,4. Phải trả người lao động,314,,8.728.678.479,4.029.256.210,314.0,,8728678479.0,4029256210.0
5. Chỉ phí phải trả ngắn hạn,5. Chỉ phí phải trả ngắn hạn,5. Chỉ phí phải trả ngắn hạn,315,17,18.711.269.101,17.621.455.058,315.0,17.0,18711269101.0,17621455058.0
6. Phải trả ngắn hạn khác,6. Phải trả ngắn hạn khác,6. Phải trả ngắn hạn khác,319,18,14.626.324.007,118.475.242.332,319.0,18.0,14626324007.0,118475242332.0
II. Nợ dài hạn,II. Nợ dài hạn,II. Nợ dài hạn,330,,29.200.000.000,11.000.000.000,330.0,,29200000000.0,11000000000.0
1. Phải trả dài hạn khác,1. Phải trả dài hạn khác,1. Phải trả dài hạn khác,337,18,11.000.000.000,11.000.000.000,337.0,18.0,11000000000.0,11000000000.0
2. Vay và nợ thuê tài chính dài hạn,2. Vay và nợ thuê tài chính dài hạn,2. Vay và nợ thuê tài chính dài hạn,338,19,18.200.000.000,-,338.0,19.0,18200000000.0,
D - VỐN CHỦ SỞ HỮU,D - VỐN CHỦ SỞ HỮU,D - VỐN CHỦ SỞ HỮU,400,,1.261.407.447.825,1.251.245.655.487,400.0,,1261407447825.0,1251245655487.0
I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,410,20,1.261.407.447.825,1.251.245.655.487,410.0,20.0,1261407447825.0,1251245655487.0
1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,411,,1.200.000.000.000,1.200.000.000.000,411.0,,1200000000000.0,1200000000000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,1.200.000.000.000,1.200.000.000.000,,,1200000000000.0,1200000000000.0
2. Lợi nhuận sau thuế chưa phân phối,2. Lợi nhuận sau thuế chưa phân phối,2. Lợi nhuận sau thuế chưa phân phối,421,,61.407.447.825,51.245.655.487,421.0,,61407447825.0,51245655487.0
- LNST chưa phân phối lũy kế đến cuối kỳ trước,- LNST chưa phân phối lũy kế đến cuối kỳ trước,- LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,51.245.655.487,34.806.247.850,,,51245655487.0,34806247850.0
- LNST chưa phân phối kỳ này,- LNST chưa phân phối kỳ này,- LNST chưa phân phối kỳ này,421b,,10.161.792.338,16.439.407.637,,,10161792338.0,16439407637.0
TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,440,,1.399.742.460.534,1.413.803.796.749,440.0,,1399742460534.0,1413803796749.0
