row_label_raw,row_label_full,Đầu tư vào công ty con(Thuyết minh số 9.1) > Đầu tư vào công ty liên kết(Thuyết minh số 9.2) > Đầu tư góp vốn vào đơn vị khác(Thuyết minh số 9.3),Số cuối năm > 1.888.888.892.000 > 692.700.970.000 > 482.900.000.000,VND Số đầu năm > 1.867.888.892.000 > 696.200.970.000 > 415.400.000.000,numeric__Số cuối năm > 1.888.888.892.000 > 692.700.970.000 > 482.900.000.000,numeric__VND Số đầu năm > 1.867.888.892.000 > 696.200.970.000 > 415.400.000.000
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,(183.183.673.286),(173.963.327.828),-183183673286.0,-173963327828.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.881.306.188.714,2.805.526.534.172,2881306188714.0,2805526534172.0
