row_label_raw,row_label_full,col_0,Vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,VND Tổng cộng,numeric__Vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,
Số dư đầu năm,Năm trước > Số dư đầu năm,Số dư đầu năm,2.417.857.030.000,142.970.000,53.367.689.519,2.471.367.689.519,2417857030000.0,142970000.0,53367689519.0,2471367689519.0
Cổ tức bằng cổ phiếu,Năm trước > Cổ tức bằng cổ phiếu,Cổ tức bằng cổ phiếu,72.505.600.000,-,(72.505.600.000),-,72505600000.0,,-72505600000.0,
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,53.334.231.467,53.334.231.467,,,53334231467.0,53334231467.0
"Trích quỹ khen thưởng, phúc lợi","Năm trước > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,(2.186.814.958),(2.186.814.958),,,-2186814958.0,-2186814958.0
Số dư cuối năm,Năm trước > Số dư cuối năm,Số dư cuối năm,2.490.362.630.000,142.970.000,32.009.506.028,2.522.515.106.028,2490362630000.0,142970000.0,32009506028.0,2522515106028.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,
Số dư đầu năm,Năm nay > Số dư đầu năm,Số dư đầu năm,2.490.362.630.000,142.970.000,32.009.506.028,2.522.515.106.028,2490362630000.0,142970000.0,32009506028.0,2522515106028.0
Cổ tức bằng cổ phiếu (*),Năm nay > Cổ tức bằng cổ phiếu (*),Cổ tức bằng cổ phiếu (*),74.682.770.000,-,(74.682.770.000),-,74682770000.0,,-74682770000.0,
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,47.376.003.360,47.376.003.360,,,47376003360.0,47376003360.0
"Trích quỹ khen thưởng, phúc lợi","Năm nay > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,(991.064.823),(991.064.823),,,-991064823.0,-991064823.0
Số dư cuối năm,Năm nay > Số dư cuối năm,Số dư cuối năm,2.565.045.400.000,142.970.000,3.711.674.565,2.568.900.044.565,2565045400000.0,142970000.0,3711674565.0,2568900044565.0
