row_label_raw,row_label_full,Tên công ty con,col_1,Lĩnh vực kinh doanh,Tỷ lệ sở hữu (%),Giá gốc đầu tư VND,Tỷ lệ sở hữu (%)_1,Giá gốc đầu tư VND_1,numeric__col_1,numeric__Lĩnh vực kinh doanh,numeric__Tỷ lệ sở hữu (%),numeric__Giá gốc đầu tư VND,numeric__Tỷ lệ sở hữu (%)_1,numeric__Giá gốc đầu tư VND_1
Công ty Cổ phần Sacom - Tuyên Lâm,Công ty Cổ phần Sacom - Tuyên Lâm,Công ty Cổ phần Sacom - Tuyên Lâm,"Kinh doanh khu du lịch, sân golf","99,75%",897.300.000.000,"99,75%",897.300.000.000,,,0.9975,897300000000.0,0.9975,897300000000.0,
Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Sân xuất dây cáp,"99,92%",499.600.000.000,"99,92%",499.600.000.000,,,0.9992,499600000000.0,0.9992,499600000000.0,
Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Kinh doanh bất động sân,"74,99%",301.988.892.000,"74,99%",301.988.892.000,,,0.7498999999999999,301988892000.0,0.7498999999999999,301988892000.0,
Công ty TNHH Sacom Chip Sáng,Công ty TNHH Sacom Chip Sáng,Công ty TNHH Sacom Chip Sáng,Kinh doanh dịch vụ cho thuê văn phòng,"73,75%",118.000.000.000,"73,75%",118.000.000.000,,,0.7375,118000000000.0,0.7375,118000000000.0,
Công ty Cổ phần Sam Nông nghiệp Công nghệ cao (i),Công ty Cổ phần Sam Nông nghiệp Công nghệ cao (i),Công ty Cổ phần Sam Nông nghiệp Công nghệ cao (i),"Trồng trọt, chân nuôi, chế biến và kinh doanh nông sân",72%,72.000.000.000,51%,51.000.000.000,,,0.72,72000000000.0,0.51,51000000000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,1.888.888.892.000,,1.867.888.892.000,,,,1888888892000.0,,1867888892000.0,
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,,,(163.155.226.367),,(150.353.003.338),,,,-163155226367.0,,-150353003338.0,
GIÁ TRỊ THUẢN,GIÁ TRỊ THUẢN,GIÁ TRỊ THUẢN,,,1.725.733.665.633,,1.717.535.888.662,,,,1725733665633.0,,1717535888662.0,
