row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,Nôi dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Môi quan hệ,numeric__Nôi dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu cho vay ngắn hạn,Phải thu cho vay ngắn hạn,Phải thu cho vay ngắn hạn,Phải thu cho vay ngắn hạn,Phải thu cho vay ngắn hạn,Phải thu cho vay ngắn hạn,Phải thu cho vay ngắn hạn,,,,
Công ty Cổ phần Sacom - Tuyên Lâm,Phải thu cho vay ngắn hạn > Công ty Cổ phần Sacom - Tuyên Lâm,Công ty Cổ phần Sacom - Tuyên Lâm,Công ty con,Cho vay,27.000.000.000,-,,,27000000000.0,
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Phải thu cho vay ngắn hạn > Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty liên kết,Cho vay,-,6.500.000.000,,,,6500000000.0
Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Phải thu cho vay ngắn hạn > Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty con,Cho vay,-,1.100.000.000,,,,1100000000.0
,,,,,27.000.000.000,7.600.000.000,,,27000000000.0,7600000000.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,,
Ông Phương Thành Long,Phải thu ngắn hạn khác > Ông Phương Thành Long,Ông Phương Thành Long,Phó Tổng Giám đốc,Góp vốn HĐHTĐT,19.150.000.000,19.150.000.000,,,19150000000.0,19150000000.0
Ông Phương Thành Long,Phải thu ngắn hạn khác > Ông Phương Thành Long,Ông Phương Thành Long,Phó Tổng Giám đốc,Tạm ứng,350.000.000,-,,,350000000.0,
Công ty TNHH Sacom Chip Sáng,Phải thu ngắn hạn khác > Công ty TNHH Sacom Chip Sáng,Công ty TNHH Sacom Chip Sáng,Công ty con,Cổ tức,5.162.500.000,-,,,5162500000.0,
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Phải thu ngắn hạn khác > Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty liên kết,Lãi cho vay,1.145.292.808,1.257.298.609,,,1145292808.0,1257298609.0
Công ty Cổ phần Sacom - Tuyên Lâm,Phải thu ngắn hạn khác > Công ty Cổ phần Sacom - Tuyên Lâm,Công ty Cổ phần Sacom - Tuyên Lâm,Công ty con,Lãi cho vay,878.726.027,-,,,878726027.0,
Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Phải thu ngắn hạn khác > Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty con,Lãi cho vay,363.828.767,14.556.164,,,363828767.0,14556164.0
,,,,,27.050.347.602,21.421.854.773,,,27050347602.0,21421854773.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,,,,
Ông Trần Việt Anh,Phải thu dài hạn khác > Ông Trần Việt Anh,Ông Trần Việt Anh,Tổng Giám đốc,Góp vốn HĐHTĐT,1.250.000.000,1.000.000.000,,,1250000000.0,1000000000.0
