row_label_raw,row_label_full,Bà Vũ Thị Thanh Thủy > Ông Nguyễn Văn Nguyên,Trường Ban,bổ nhiệm ngày 29 tháng 3 năm 2019 > từ nhiệm ngày 8 tháng 3 năm 2019,numeric__Trường Ban,numeric__bổ nhiệm ngày 29 tháng 3 năm 2019 > từ nhiệm ngày 8 tháng 3 năm 2019
Bà Chung Thị Kiều Ngân,Bà Chung Thị Kiều Ngân,Bà Chung Thị Kiều Ngân,Thành viên,,,
Ông Hoàng Giang,Ông Hoàng Giang,Ông Hoàng Giang,Thành viên,bổ nhiệm ngày 29 tháng 3 năm 2019,,
