row_label_raw,row_label_full,col_0,Mã cổ phiếu,Số đầu năm,Mua trong năm,Bản trong năm,Số cuối năm,numeric__Mã cổ phiếu,numeric__Số đầu năm,numeric__Mua trong năm,numeric__Bản trong năm,numeric__Số cuối năm
Lý do thay đổi các khoản đầu tư như sau:,Lý do thay đổi các khoản đầu tư như sau:,Lý do thay đổi các khoản đầu tư như sau:,Lý do thay đổi các khoản đầu tư như sau:,Lý do thay đổi các khoản đầu tư như sau:,Lý do thay đổi các khoản đầu tư như sau:,Lý do thay đổi các khoản đầu tư như sau:,Lý do thay đổi các khoản đầu tư như sau:,,,,,
Công ty Cổ phần Nhựa Đông Nai,Lý do thay đổi các khoản đầu tư như sau: > Công ty Cổ phần Nhựa Đông Nai,Công ty Cổ phần Nhựa Đông Nai,DNP,6.748.200,3.370.100,(6.748.200),3.370.100,,6748200.0,3370100.0,-6748200.0,3370100.0
- Về số lượng,Lý do thay đổi các khoản đầu tư như sau: > - Về số lượng,- Về số lượng,,97.995.673.350,49.445.997.910,(97.995.673.350),49.445.997.910,,97995673350.0,49445997910.0,-97995673350.0,49445997910.0
- Về giá trị,- Về giá trị,- Về giá trị,,,,,,,,,,
Công ty Cổ phần Phân lân Nung chảy Văn Điền,- Về giá trị > Công ty Cổ phần Phân lân Nung chảy Văn Điền,Công ty Cổ phần Phân lân Nung chảy Văn Điền,VAF,229.106,-,(48.950),180.156,,229106.0,,-48950.0,180156.0
- Về số lượng,- Về giá trị > - Về số lượng,- Về số lượng,,1.762.360.000,-,(376.523.400),1.385.836.600,,1762360000.0,,-376523400.0,1385836600.0
- Về giá trị,- Về giá trị,- Về giá trị,,,,,,,,,,
Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,- Về giá trị > Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,VCB,-,15.000,-,15.000,,,15000.0,,15000.0
- Về số lượng,- Về giá trị > - Về số lượng,- Về số lượng,,-,1.345.515.250,-,1.345.515.250,,,1345515250.0,,1345515250.0
- Về giá trị,- Về giá trị,- Về giá trị,,,,,,,,,,
Tập đoàn Xăng dầu Việt Nam,- Về giá trị > Tập đoàn Xăng dầu Việt Nam,Tập đoàn Xăng dầu Việt Nam,PXL,-,50.130,(50.130),-,,,50130.0,-50130.0,
- Về số lượng,- Về giá trị > - Về số lượng,- Về số lượng,,-,3.292.733.703,(3.292.733.703),-,,,3292733703.0,-3292733703.0,
- Về giá trị,- Về giá trị,- Về giá trị,,,,,,,,,,
Công ty Cổ phần FPT,- Về giá trị > Công ty Cổ phần FPT,Công ty Cổ phần FPT,FPT,-,70.000,(70.000),-,,,70000.0,-70000.0,
- Về số lượng,- Về giá trị > - Về số lượng,- Về số lượng,,-,3.331.589.900,(3.331.589.900),-,,,3331589900.0,-3331589900.0,
- Về giá trị,- Về giá trị,- Về giá trị,,,,,,,,,,
Công ty Cổ phần Vàng bạc đá quỹ Phú Nhuận,- Về giá trị > Công ty Cổ phần Vàng bạc đá quỹ Phú Nhuận,Công ty Cổ phần Vàng bạc đá quỹ Phú Nhuận,PNJ,-,21.000,(21.000),-,,,21000.0,-21000.0,
- Về số lượng,- Về giá trị > - Về số lượng,- Về số lượng,,-,2.212.327.520,(2.212.327.520),-,,,2212327520.0,-2212327520.0,
- Về giá trị,- Về giá trị,- Về giá trị,,,,,,,,,,
