row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,Nôi dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Môi quan hệ,numeric__Nôi dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,,,,
Công ty Cổ phần Địa ốc Sacom,Phải trả ngắn hạn khác > Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty con,Thu hồ,15.000.000.000,105.555.556,,,15000000000.0,105555556.0
Công ty Cổ phần Địa ốc Sacom,Phải trả ngắn hạn khác > Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty con,Chi phí lãi vay,438.451.388,-,,,438451388.0,
Công ty Cổ phần Sacom - Tuyên Lâm,Phải trả ngắn hạn khác > Công ty Cổ phần Sacom - Tuyên Lâm,Công ty Cổ phần Sacom - Tuyên Lâm,Công ty con,Chi phí lãi vay,2.000.000.000,5.978.154.013,,,2000000000.0,5978154013.0
Công ty Cổ phần Dây và Cáp Sacom,Phải trả ngắn hạn khác > Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty con,Chi phí lãi vay,1.231.961.053,144.164.383,,,1231961053.0,144164383.0
Công ty TNHH Sacom Chip Sáng,Phải trả ngắn hạn khác > Công ty TNHH Sacom Chip Sáng,Công ty TNHH Sacom Chip Sáng,Công ty con,Chi phí lãi vay,487.205.479,-,,,487205479.0,
Ông Trần Việt Anh,Phải trả ngắn hạn khác > Ông Trần Việt Anh,Ông Trần Việt Anh,Tổng Giám đốc,Khác,-,11.832.700,,,,11832700.0
,,,,,19.157.617.920,6.239.706.652,,,19157617920.0,6239706652.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,
Công ty TNHH Sacom Chip Sáng,Vay ngắn hạn > Công ty TNHH Sacom Chip Sáng,Công ty TNHH Sacom Chip Sáng,Công ty con,Vay,13.000.000.000,-,,,13000000000.0,
Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Vay ngắn hạn > Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty con,Vay,5.000.000.000,-,,,5000000000.0,
Công ty Cổ phần Phú Hữu Gia,Vay ngắn hạn > Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Bên liên quan,Vay,-,57.000.000.000,,,,57000000000.0
Công ty Cổ phần Dây và Cáp Sacom,Vay ngắn hạn > Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty con,Vay,-,33.500.000.000,,,,33500000000.0
Công ty Cổ phần Sacom - Tuyên Lâm,Vay ngắn hạn > Công ty Cổ phần Sacom - Tuyên Lâm,Công ty Cổ phần Sacom - Tuyên Lâm,Công ty con,Vay,-,27.713.500.000,,,,27713500000.0
Công ty Cổ phần Địa ốc Sacom,Vay ngắn hạn > Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty con,Vay,-,5.000.000.000,,,,5000000000.0
,,,,,18.000.000.000,123.213.500.000,,,18000000000.0,123213500000.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,
Công ty Cổ phần Sacom - Tuyên Lâm,Vay dài hạn > Công ty Cổ phần Sacom - Tuyên Lâm,Công ty Cổ phần Sacom - Tuyên Lâm,Công ty con,Vay,-,212.465.500.000,,,,212465500000.0
