row_label_raw,row_label_full,Bên cho vay,Số cuối năm(VND),Kỳ hạn trả gốc,Kỳ hạn trả gốc_1,Lãi suất(%/năm),Hình thức bảo đảm,numeric__Số cuối năm(VND),numeric__Kỳ hạn trả gốc,numeric__Kỳ hạn trả gốc_1,numeric__Lãi suất(%/năm),numeric__Hình thức bảo đảm
Công ty TNHH Sacom Chíp Sáng,Công ty TNHH Sacom Chíp Sáng,Công ty TNHH Sacom Chíp Sáng,Công ty TNHH Sacom Chíp Sáng,Công ty TNHH Sacom Chíp Sáng,Công ty TNHH Sacom Chíp Sáng,Công ty TNHH Sacom Chíp Sáng,Công ty TNHH Sacom Chíp Sáng,,,,,
Hợp đồng vay số HHD01/2019/SCS-SAM/HĐVV và Phú lục,Công ty TNHH Sacom Chíp Sáng > Hợp đồng vay số HHD01/2019/SCS-SAM/HĐVV và Phú lục,Hợp đồng vay số HHD01/2019/SCS-SAM/HĐVV và Phú lục,10.000.000.000,Ngày 9 tháng 4 năm 2019,Ngày 9 tháng 4 năm 2019,"5,5%",Tin chấp,10000000000.0,,,0.055,
Hợp đồng vay số HHD02/2019/SCS-SAM/HĐVV và Phú lục,Công ty TNHH Sacom Chíp Sáng > Hợp đồng vay số HHD02/2019/SCS-SAM/HĐVV và Phú lục,Hợp đồng vay số HHD02/2019/SCS-SAM/HĐVV và Phú lục,3.000.000.000,Ngày 18 tháng 4 năm 2019,Ngày 18 tháng 4 năm 2019,"5,5%",Tin chấp,3000000000.0,,,0.055,
,,,13.000.000.000,,,,,13000000000.0,,,,
Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,,,,,
Hợp đồng vay số 3112/2019/SAG/HĐVV,Công ty Cổ phần Sam Nông nghiệp Công nghệ cao > Hợp đồng vay số 3112/2019/SAG/HĐVV,Hợp đồng vay số 3112/2019/SAG/HĐVV,5.000.000.000,Ngày 31 tháng 3 năm 2020,Ngày 31 tháng 3 năm 2020,"12,5%",Tin chấp,5000000000.0,,,0.125,
TỔNG CỘNG,Công ty Cổ phần Sam Nông nghiệp Công nghệ cao > TỔNG CỘNG,TỔNG CỘNG,18.000.000.000,,,,,18000000000.0,,,,
14.2 Trải phiếu,14.2 Trải phiếu,14.2 Trải phiếu,14.2 Trải phiếu,14.2 Trải phiếu,14.2 Trải phiếu,14.2 Trải phiếu,14.2 Trải phiếu,,,,,
Chi tiết khoản trải phiếu để bổ sung vốn lưu động được trình bày như sau:,Chi tiết khoản trải phiếu để bổ sung vốn lưu động được trình bày như sau:,Chi tiết khoản trải phiếu để bổ sung vốn lưu động được trình bày như sau:,Chi tiết khoản trải phiếu để bổ sung vốn lưu động được trình bày như sau:,Chi tiết khoản trải phiếu để bổ sung vốn lưu động được trình bày như sau:,Chi tiết khoản trải phiếu để bổ sung vốn lưu động được trình bày như sau:,Chi tiết khoản trải phiếu để bổ sung vốn lưu động được trình bày như sau:,Chi tiết khoản trải phiếu để bổ sung vốn lưu động được trình bày như sau:,,,,,
Tổ chức thu xếp phát hành,Tổ chức thu xếp phát hành,Tổ chức thu xếp phát hành,Số cuối năm(VND),Kỳ hạn,Lãi suất(%/năm),,Hình thức bảo đảm,,,,,
Công ty Cổ phần Chứng khoán Agribank,Công ty Cổ phần Chứng khoán Agribank,Công ty Cổ phần Chứng khoán Agribank,Công ty Cổ phần Chứng khoán Agribank,Công ty Cổ phần Chứng khoán Agribank,Công ty Cổ phần Chứng khoán Agribank,Công ty Cổ phần Chứng khoán Agribank,Công ty Cổ phần Chứng khoán Agribank,,,,,
Phát hành ngày 25 tháng 4 năm 2019,Công ty Cổ phần Chứng khoán Agribank > Phát hành ngày 25 tháng 4 năm 2019,Phát hành ngày 25 tháng 4 năm 2019,100.000.000.000,Ngày 25 tháng 4năm 2020,10%,11.800.000 cổ phiếu phổ thông Tổng Công tyDược Việt Nam - CTCP; và 9.000.000 cổ phiếuphổ thông Công ty Cổ phần Dịch vuDu lịch Phú Thọ,11.800.000 cổ phiếu phổ thông Tổng Công tyDược Việt Nam - CTCP; và 9.000.000 cổ phiếuphổ thông Công ty Cổ phần Dịch vuDu lịch Phú Thọ,100000000000.0,,0.1,,
