row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócvà thiết bị,Phương tiệnvận tải,Thiết bịvăn phòng,VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__VNDTổng cộng
Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,,,,,
Số đầu năm,Nguyên giả: > Số đầu năm,Số đầu năm,11.906.769.352,134.290.000,2.654.682.718,1.369.142.480,16.064.884.550,11906769352.0,134290000.0,2654682718.0,1369142480.0,16064884550.0
Mua trong năm,Nguyên giả: > Mua trong năm,Mua trong năm,-,-,-,49.000.000,49.000.000,,,,49000000.0,49000000.0
"Thanh lý, nhượng bán","Nguyên giả: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(439.791.070),-,-,-,(439.791.070),-439791070.0,,,,-439791070.0
Số cuối năm,Nguyên giả: > Số cuối năm,Số cuối năm,11.466.978.282,134.290.000,2.654.682.718,1.418.142.480,15.674.093.480,11466978282.0,134290000.0,2654682718.0,1418142480.0,15674093480.0
Trong đó:Dã khấu hao hết,Nguyên giả: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,11.466.978.282,-,2.654.682.718,1.369.142.480,15.490.803.480,11466978282.0,,2654682718.0,1369142480.0,15490803480.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(11.906.769.352),(62.135.315),(2.654.682.718),(1.369.142.480),(15.992.729.865),-11906769352.0,-62135315.0,-2654682718.0,-1369142480.0,-15992729865.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,-,(26.857.992),-,(834.229),(27.692.221),,-26857992.0,,-834229.0,-27692221.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",439.791.070,-,-,-,439.791.070,439791070.0,,,,439791070.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(11.466.978.282),(88.993.307),(2.654.682.718),(1.369.976.709),(15.580.631.016),-11466978282.0,-88993307.0,-2654682718.0,-1369976709.0,-15580631016.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,-,72.154.685,-,-,72.154.685,,72154685.0,,,72154685.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,-,45.296.693,-,48.165.771,93.462.464,,45296693.0,,48165771.0,93462464.0
