row_label_raw,row_label_full,col_0,Quyền sử dụngđất không xácđịnh thời hạnVND,Quyền sử dụngđất có xác địnhthời hạnVND,Phần mềmmáy vi tínhVND,TổngVND,numeric__Quyền sử dụngđất không xácđịnh thời hạnVND,numeric__Quyền sử dụngđất có xác địnhthời hạnVND,numeric__Phần mềmmáy vi tínhVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,19.504.465.200,131.943.393.304,34.044.661.873,185.492.520.377,19504465200.0,131943393304.0,34044661873.0,185492520377.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,530.000.000,530.000.000,,,530000000.0,530000000.0
Chênh lệch quy đổi tiền tệ,Nguyên giá > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,392.854.200,-,(123.759.410),269.094.790,392854200.0,,-123759410.0,269094790.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,19.897.319.400,131.943.393.304,34.450.902.463,186.291.615.167,19897319400.0,131943393304.0,34450902463.0,186291615167.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,16.310.775.760,18.676.048.404,34.986.824.164,,16310775760.0,18676048404.0,34986824164.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,4.173.534.069,2.640.902.219,6.814.436.288,,4173534069.0,2640902219.0,6814436288.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,20.484.309.829,21.316.950.623,41.801.260.452,,20484309829.0,21316950623.0,41801260452.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,19.504.465.200,115.632.617.544,15.368.613.469,150.505.696.213,19504465200.0,115632617544.0,15368613469.0,150505696213.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,19.897.319.400,111.459.083.475,13.133.951.840,144.490.354.715,19897319400.0,111459083475.0,13133951840.0,144490354715.0
