row_label_raw,row_label_full,STT,Công ty con,Hoạt động chính,% quyền biểu quyết,% quyền biểu quyết_1,% lợi ích kinh tế,% lợi ích kinh tế_1,numeric__Công ty con,numeric__Hoạt động chính,numeric__% quyền biểu quyết,numeric__% quyền biểu quyết_1,numeric__% lợi ích kinh tế,numeric__% lợi ích kinh tế_1
STT,STT,STT,Công ty con,Hoạt động chính,31/12/2023,1/1/2023,31/12/2023,1/1/2023,,,,,,
1.,STT > 1.,1.,Mseafood Corporation,Kinh doanh các sản phẩm thủy sản.,"90,00%","90,00%","90,00%","90,00%",,,0.9,0.9,0.9,0.9
2.,STT > 2.,2.,Công ty Cổ phần Thủy sản Minh Phú Hậu Giang,"Chế biến và kinh doanh bột cá, các sản phẩm thủy sản, đầu cá sinh học; kinh doanh hàng hóa, nguyên vật liệu, máy móc và thiết bị phục vụ ngành nuôi trồng thủy sản; đầu tư và kinh doanh cơ sở hạ tầng; xây dựng các công trình công nghiệp và dân dụng.","98,27%","98,27%","98,27%","98,27%",,,0.9826999999999999,0.9826999999999999,0.9826999999999999,0.9826999999999999
3.,STT > 3.,3.,Công ty TNHH Chế biến Thủy sản Minh Quí (i),"Chế biến và kinh doanh các sản phẩm thủy sản, nhập khẩu nguyên vật liệu, máy móc và thiết bị phục vụ ngành nuôi trồng thủy sản.","97,50%","97,50%","97,50%","97,50%",,,0.975,0.975,0.975,0.975
4.,STT > 4.,4.,Công ty TNHH Chế biến Thủy sản Minh Phát (i),"Chế biến và kinh doanh các sản phẩm thủy sản, nhập khẩu nguyên vật liệu, máy móc và thiết bị phục vụ ngành nuôi trồng thủy sản.","99,17%","99,17%","99,17%","99,17%",,,0.9917,0.9917,0.9917,0.9917
5.,STT > 5.,5.,Công ty TNHH Thủy hải sản Minh Phú – Kiên Giang (i),"Nuôi trồng thủy sản; chế biến, bảo quản các sản phẩm thủy sản; sản xuất giống thủy sản; kinh doanh máy móc và thiết bị phục vụ ngành nuôi trồng thủy sản.","99,89%","99,89%","99,89%","99,89%",,,0.9989,0.9989,0.9989,0.9989
6.,STT > 6.,6.,Công ty TNHH Sản xuất giống thủy sản Minh Phú (i),"Sản xuất, cung cấp và kinh doanh giống thủy sản; chế biến, bảo quản các sản phẩm thủy sản; kinh doanh thực phẩm và nguyên vật liệu phục vụ ngành chăn nuôi gia súc, gia cầm và nuôi trồng thủy sản.","99,78%","99,78%","99,78%","99,78%",,,0.9978,0.9978,0.9978,0.9978
