row_label_raw,row_label_full,Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Cà Mau,Loại tiền > Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Cà Mau,Lãi suất năm > 2023 > Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Cà Mau,Lãi suất năm > 2022 > Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Cà Mau,31/12/2023 VND > Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Cà Mau,1/1/2023 VND > Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Cà Mau,numeric__Loại tiền > Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Cà Mau,numeric__Lãi suất năm > 2023 > Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Cà Mau,numeric__Lãi suất năm > 2022 > Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Cà Mau,numeric__31/12/2023 VND > Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Cà Mau,numeric__1/1/2023 VND > Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Cà Mau
▪ Khoản vay 1,▪ Khoản vay 1,▪ Khoản vay 1,VND,"3,2% - 4,5%","7,0% - 8,0%",913.373.060.296,206.098.408.453,,,,913373060296.0,206098408453.0
▪ Khoản vay 2,▪ Khoản vay 2,▪ Khoản vay 2,VND,"3,0% - 3,8%","7,0% - 8,0%",709.803.899.856,321.044.645.872,,,,709803899856.0,321044645872.0
▪ Khoản vay 3,▪ Khoản vay 3,▪ Khoản vay 3,USD,"3,8% - 4,2%","1,6% - 4,2%",273.935.437.072,645.126.539.316,,,,273935437072.0,645126539316.0
▪ Khoản vay 4,▪ Khoản vay 4,▪ Khoản vay 4,USD,"4,0%","1,6% - 4,2%",253.536.503.000,904.136.122.539,,0.04,,253536503000.0,904136122539.0
▪ Khoản vay 5,▪ Khoản vay 5,▪ Khoản vay 5,VND,-,"3,9%",-,193.911.401.197,,,0.039,,193911401197.0
▪ Khoản vay 6,▪ Khoản vay 6,▪ Khoản vay 6,VND,-,"3,9%",-,65.011.874.494,,,0.039,,65011874494.0
Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Cà Mau,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Cà Mau,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Cà Mau,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Cà Mau,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Cà Mau,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Cà Mau,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Cà Mau,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Cà Mau,,,,,
▪ Khoản vay 1,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Cà Mau > ▪ Khoản vay 1,▪ Khoản vay 1,VND,"2,8% - 3,7%",-,291.227.581.153,-,,,,291227581153.0,
▪ Khoản vay 2,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Cà Mau > ▪ Khoản vay 2,▪ Khoản vay 2,VND,"2,8% - 3,7%",-,603.211.532.292,-,,,,603211532292.0,
▪ Khoản vay 3,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Cà Mau > ▪ Khoản vay 3,▪ Khoản vay 3,USD,"3,4% - 4,2%","1,6% - 4,2%",208.400.335.220,497.787.019.005,,,,208400335220.0,497787019005.0
▪ Khoản vay 4,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Cà Mau > ▪ Khoản vay 4,▪ Khoản vay 4,USD,"3,2% - 4,0%","1,6% - 4,2%",183.400.305.000,734.126.214.800,,,,183400305000.0,734126214800.0
