row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.428.907.210.570,1.593.320.033.498,405.487.238.068,28.854.231.541,3.456.568.713.677,1428907210570.0,1593320033498.0,405487238068.0,28854231541.0,3456568713677.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,6.012.843.496,25.688.301.487,22.292.912.335,81.580.000,54.075.637.318,6012843496.0,25688301487.0,22292912335.0,81580000.0,54075637318.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,56.279.927.314,-,-,-,56.279.927.314,56279927314.0,,,,56279927314.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(13.852.493.454),(14.583.107.273),-,(28.435.600.727),,-13852493454.0,-14583107273.0,,-28435600727.0
Chênh lệch quy đổi tiền tệ,Nguyên giá > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,345.187.885,-,-,17.265.800,362.453.685,345187885.0,,,17265800.0,362453685.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.491.545.169.265,1.605.155.841.531,413.197.043.130,28.953.077.341,3.538.851.131.267,1491545169265.0,1605155841531.0,413197043130.0,28953077341.0,3538851131267.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,605.288.463.779,1.207.630.195.883,159.360.435.470,22.855.775.930,1.995.134.871.062,605288463779.0,1207630195883.0,159360435470.0,22855775930.0,1995134871062.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,127.462.366.768,71.228.277.368,22.246.320.092,1.487.927.870,222.424.892.098,127462366768.0,71228277368.0,22246320092.0,1487927870.0,222424892098.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(10.238.611.119),(10.585.756.377),-,(20.824.367.496),,-10238611119.0,-10585756377.0,,-20824367496.0
Chênh lệch quy đổi tiền tệ,Giá trị hao mòn lũy kế > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,139.644.645,-,-,17.265.800,156.910.445,139644645.0,,,17265800.0,156910445.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,732.890.475.192,1.268.619.862.132,171.020.999.185,24.360.969.600,2.196.892.306.109,732890475192.0,1268619862132.0,171020999185.0,24360969600.0,2196892306109.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,823.618.746.791,385.689.837.615,246.126.802.598,5.998.455.611,1.461.433.842.615,823618746791.0,385689837615.0,246126802598.0,5998455611.0,1461433842615.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,758.654.694.073,336.535.979.399,242.176.043.945,4.592.107.741,1.341.958.825.158,758654694073.0,336535979399.0,242176043945.0,4592107741.0,1341958825158.0
