row_label_raw,row_label_full,Số dư đầu năm,2023 > Chênh lệch tạm thời VND > 581.772.246,2023 > Giá trị thuế VND > 116.354.449,2023 > Lỗ tính thuế VND > 711.852.620.599,2023 > Giá trị thuế VND > 131.115.019.357,numeric__2023 > Chênh lệch tạm thời VND > 581.772.246,numeric__2023 > Giá trị thuế VND > 116.354.449,numeric__2023 > Lỗ tính thuế VND > 711.852.620.599,numeric__2023 > Giá trị thuế VND > 131.115.019.357
Hoàn nhập chênh lệch tạm thời,Hoàn nhập chênh lệch tạm thời,Hoàn nhập chênh lệch tạm thời,(581.772.246),(116.354.449),-,-,-581772246.0,-116354449.0,,
Lỗ tính thuế phát sinh trong năm,Lỗ tính thuế phát sinh trong năm,Lỗ tính thuế phát sinh trong năm,-,-,592.439.287.035,97.946.150.225,,,592439287035.0,97946150225.0
Lỗ tính thuế hết hiệu lực,Lỗ tính thuế hết hiệu lực,Lỗ tính thuế hết hiệu lực,-,-,(11.701.509.822),(1.362.761.483),,,-11701509822.0,-1362761483.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,-,-,1.292.590.397.812,227.698.408.099,,,1292590397812.0,227698408099.0
,,,2022,2022,2022,2022,2022.0,2022.0,2022.0,2022.0
,,,Chênh lệch tạm thời VND,Giá trị thuế VND,Lỗ tính thuế VND,Giá trị thuế VND,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,15.141.635.422,3.028.327.084,488.772.216.605,88.689.689.434,15141635422.0,3028327084.0,488772216605.0,88689689434.0
Hoàn nhập chênh lệch tạm thời,Hoàn nhập chênh lệch tạm thời,Hoàn nhập chênh lệch tạm thời,(14.559.863.176),(2.911.972.635),-,-,-14559863176.0,-2911972635.0,,
Lỗ tính thuế phát sinh trong năm,Lỗ tính thuế phát sinh trong năm,Lỗ tính thuế phát sinh trong năm,-,-,265.211.390.676,50.759.707.944,,,265211390676.0,50759707944.0
Lỗ tính thuế được sử dụng,Lỗ tính thuế được sử dụng,Lỗ tính thuế được sử dụng,-,-,(4.422.283.600),(1.061.348.064),,,-4422283600.0,-1061348064.0
Lỗ tính thuế hết hiệu lực,Lỗ tính thuế hết hiệu lực,Lỗ tính thuế hết hiệu lực,-,-,(37.708.703.082),(7.273.029.957),,,-37708703082.0,-7273029957.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,581.772.246,116.354.449,711.852.620.599,131.115.019.357,581772246.0,116354449.0,711852620599.0,131115019357.0
