row_label_raw,row_label_full,col_0,Chi phí đấttrả trướcVND,Công cụ vàdụng cụVND,Chi phí khácVND,TổngVND,numeric__Chi phí đấttrả trướcVND,numeric__Công cụ vàdụng cụVND,numeric__Chi phí khácVND,numeric__TổngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,74.525.796.657,147.009.743.108,10.291.120.936,231.826.660.701,74525796657.0,147009743108.0,10291120936.0,231826660701.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,67.336.625.916,210.350.665,67.546.976.581,,67336625916.0,210350665.0,67546976581.0
Chuyển từ xây dựng cơbản đồ dang,Chuyển từ xây dựng cơbản đồ dang,Chuyển từ xây dựng cơbản đồ dang,-,6.006.763.460,-,6.006.763.460,,6006763460.0,,6006763460.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(6.595.239.795),(112.390.107.324),(6.746.315.849),(125.731.662.968),-6595239795.0,-112390107324.0,-6746315849.0,-125731662968.0
Thanh lý,Thanh lý,Thanh lý,-,(536.271.055),-,(536.271.055),,-536271055.0,,-536271055.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,67.930.556.862,107.426.754.105,3.755.155.752,179.112.466.719,67930556862.0,107426754105.0,3755155752.0,179112466719.0
