row_label_raw,row_label_full,col_0,Doanh thu,Doanh thu_1,numeric__Doanh thu,numeric__Doanh thu_1
,,,2023VND,2022VND,,
Bắc Mỹ,Bắc Mỹ,Bắc Mỹ,2.990.567.990.439,5.879.795.075.341,2990567990439.0,5879795075341.0
Ức,Ức,Ức,2.063.647.969.006,1.645.966.695.018,2063647969006.0,1645966695018.0
Nhật Bản,Nhật Bản,Nhật Bản,2.012.111.249.177,3.605.173.990.367,2012111249177.0,3605173990367.0
Châu Âu,Châu Âu,Châu Âu,1.681.448.879.890,3.047.691.126.788,1681448879890.0,3047691126788.0
Hàn Quốc,Hàn Quốc,Hàn Quốc,658.355.960.451,802.957.283.901,658355960451.0,802957283901.0
Việt Nam,Việt Nam,Việt Nam,404.954.671.055,328.362.134.920,404954671055.0,328362134920.0
Các vùng địa lý khác,Các vùng địa lý khác,Các vùng địa lý khác,956.304.491.726,1.115.242.084.506,956304491726.0,1115242084506.0
,,,10.767.391.211.744,16.425.188.390.841,10767391211744.0,16425188390841.0
