row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Chênh lệch tỷ giá hối đoái VND,Quỹ đầu tư và phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng vốn chủ sở hữu của Công ty VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Chênh lệch tỷ giá hối đoái VND,numeric__Quỹ đầu tư và phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng vốn chủ sở hữu của Công ty VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2022,Số dư tại ngày 1 tháng 1 năm 2022,Số dư tại ngày 1 tháng 1 năm 2022,2.000.000.000.000,2.297.421.887.777,(1.628.235.339),126.353.289.322,123.202.185.780,811.566.523.974,5.356.915.651.514,135.210.987.766,5.492.126.639.280,2000000000000.0,2297421887777.0,-1628235339.0,126353289322.0,123202185780.0,811566523974.0,5356915651514.0,135210987766.0,5492126639280.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,822.596.840.209,822.596.840.209,9.585.793.764,832.182.633.973,,,,,,822596840209.0,822596840209.0,9585793764.0,832182633973.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,1.999.436.500.000,(1.999.436.500.000),-,-,-,-,-,-,-,1999436500000.0,-1999436500000.0,,,,,,,
Mua lại cổ phiếu,Mua lại cổ phiếu,Mua lại cổ phiếu,-,670.121.020,(992.021.020),-,-,-,(321.900.000),-,(321.900.000),,670121020.0,-992021020.0,,,,-321900000.0,,-321900000.0
Giảm cổ phiếu,Giảm cổ phiếu,Giảm cổ phiếu,(563.500.000),(2.056.756.359),2.620.256.359,-,-,-,-,-,-,-563500000.0,-2056756359.0,2620256359.0,,,,,,
Cổ tức (*),Cổ tức (*),Cổ tức (*),-,-,-,-,-,(459.870.395.000),(459.870.395.000),(8.019.311.475),(467.889.706.475),,,,,,-459870395000.0,-459870395000.0,-8019311475.0,-467889706475.0
Vốn góp của các cổ đông không kiểm soát vào các công ty con,Vốn góp của các cổ đông không kiểm soát vào các công ty con,Vốn góp của các cổ đông không kiểm soát vào các công ty con,-,-,-,-,-,-,-,3.461.540.000,3.461.540.000,,,,,,,,3461540000.0,3461540000.0
Phân bổ vào quỹ đầu tư phát triển,Phân bổ vào quỹ đầu tư phát triển,Phân bổ vào quỹ đầu tư phát triển,-,-,-,-,35.344.538.519,(35.211.644.292),132.894.227,(132.894.227),-,,,,,35344538519.0,-35211644292.0,132894227.0,-132894227.0,
"Phân bổ vào quỹ khen thưởng, phúc lợi (Thuyết minh 19)","Phân bổ vào quỹ khen thưởng, phúc lợi (Thuyết minh 19)","Phân bổ vào quỹ khen thưởng, phúc lợi (Thuyết minh 19)",-,-,-,-,-,(36.259.134.935),(36.259.134.935),-,(36.259.134.935),,,,,,-36259134935.0,-36259134935.0,,-36259134935.0
Sử dụng quỹ,Sử dụng quỹ,Sử dụng quỹ,-,-,-,-,(31.060.819.926),-,(31.060.819.926),-,(31.060.819.926),,,,,-31060819926.0,,-31060819926.0,,-31060819926.0
Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,-,-,-,17.080.582.298,-,-,17.080.582.298,1.281.350.714,18.361.933.012,,,,17080582298.0,,,17080582298.0,1281350714.0,18361933012.0
Các điều chỉnh khác,Các điều chỉnh khác,Các điều chỉnh khác,-,(4.199.111.017),-,-,(6.978.047.309),(14.241.943.235),(25.419.101.561),-,(25.419.101.561),,-4199111017.0,,,-6978047309.0,-14241943235.0,-25419101561.0,,-25419101561.0
Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,3.998.873.000.000,292.399.641.421,-,143.433.871.620,120.507.857.064,1.088.580.246.721,5.643.794.616.826,141.387.466.542,5.785.182.083.368,3998873000000.0,292399641421.0,,143433871620.0,120507857064.0,1088580246721.0,5643794616826.0,141387466542.0,5785182083368.0
