row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócvà thiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịvăn phòngVND,Tài sảnkhácVND,TổngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịvăn phòngVND,numeric__Tài sảnkhácVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.049.472.737.782,8.947.250.186.521,476.339.327.088,64.460.717.419,26.259.183.287,11.563.782.152.097,2049472737782.0,8947250186521.0,476339327088.0,64460717419.0,26259183287.0,11563782152097.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,36.363.205.893,214.559.535.277,347.612.588,10.643.278.948,1.177.861.800,263.091.494.506,36363205893.0,214559535277.0,347612588.0,10643278948.0,1177861800.0,263091494506.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,383.047.350.683,1.184.723.608.438,17.238.507.532,-,-,1.585.009.466.653,383047350683.0,1184723608438.0,17238507532.0,,,1585009466653.0
Chuyển từ tài sản thuê tài chính,Nguyên giá > Chuyển từ tài sản thuê tài chính,Chuyển từ tài sản thuê tài chính,-,138.806.529.152,14.966.420.583,-,-,153.772.949.735,,138806529152.0,14966420583.0,,,153772949735.0
Phân loại sang chi phí trả trước dài hạn,Nguyên giá > Phân loại sang chi phí trả trước dài hạn,Phân loại sang chi phí trả trước dài hạn,(889.974.672),(296.154.645),-,-,-,(1.186.129.317),-889974672.0,-296154645.0,,,,-1186129317.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(15.632.412.652),15.632.412.652,-,-,-,-,-15632412652.0,15632412652.0,,,,
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(5.513.475.901),(324.216.756.474),(95.958.446.428),(537.099.646),(386.670.164),(426.612.448.613),-5513475901.0,-324216756474.0,-95958446428.0,-537099646.0,-386670164.0,-426612448613.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(36.799.182),(3.350.811.569),(258.000.000),-,-,(3.645.610.751),-36799182.0,-3350811569.0,-258000000.0,,,-3645610751.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.446.810.631.951,10.173.108.549.352,412.675.421.363,74.566.896.721,27.050.374.923,13.134.211.874.310,2446810631951.0,10173108549352.0,412675421363.0,74566896721.0,27050374923.0,13134211874310.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,449.735.862.063,3.212.658.424.227,186.809.467.237,22.353.261.855,20.554.925.180,3.892.111.940.562,449735862063.0,3212658424227.0,186809467237.0,22353261855.0,20554925180.0,3892111940562.0
Khâu hao trong năm,Giá trị hao mòn lũy kế > Khâu hao trong năm,Khâu hao trong năm,120.917.422.413,949.644.475.395,48.968.188.447,11.474.322.997,1.200.180.204,1.132.204.589.456,120917422413.0,949644475395.0,48968188447.0,11474322997.0,1200180204.0,1132204589456.0
Chuyển từ tài sản thuê tài chính,Giá trị hao mòn lũy kế > Chuyển từ tài sản thuê tài chính,Chuyển từ tài sản thuê tài chính,-,102.791.815.515,5.579.023.254,-,-,108.370.838.769,,102791815515.0,5579023254.0,,,108370838769.0
Phân loại sang chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Phân loại sang chi phí trả trước dài hạn,Phân loại sang chi phí trả trước dài hạn,(315.607.791),(126.547.331),-,-,-,(442.155.122),-315607791.0,-126547331.0,,,,-442155122.0
Phân loại,Giá trị hao mòn lũy kế > Phân loại,Phân loại,(4.170.995.154),4.170.995.154,-,-,-,-,-4170995154.0,4170995154.0,,,,
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(3.070.528.326),(138.643.435.814),(40.662.272.171),(65.288.131),(300.658.121),(182.742.182.563),-3070528326.0,-138643435814.0,-40662272171.0,-65288131.0,-300658121.0,-182742182563.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,(5.009.091),(1.942.156.746),(63.704.794),-,-,(2.010.870.631),-5009091.0,-1942156746.0,-63704794.0,,,-2010870631.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,563.091.144.114,4.128.553.570.400,200.630.701.973,33.762.296.721,21.454.447.263,4.947.492.160.471,563091144114.0,4128553570400.0,200630701973.0,33762296721.0,21454447263.0,4947492160471.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.599.736.875.719,5.734.591.762.294,289.529.859.851,42.107.455.564,5.704.258.107,7.671.670.211.535,1599736875719.0,5734591762294.0,289529859851.0,42107455564.0,5704258107.0,7671670211535.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.883.719.487.837,6.044.554.978.952,212.044.719.390,40.804.600.000,5.595.927.660,8.186.719.713.839,1883719487837.0,6044554978952.0,212044719390.0,40804600000.0,5595927660.0,8186719713839.0
