row_label_raw,row_label_full,col_0,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,145.305.609.552,72.264.862.646,18.636.363.636,236.206.835.834,145305609552.0,72264862646.0,18636363636.0,236206835834.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,145.026.646.893,9.560.000.000,-,154.586.646.893,145026646893.0,9560000000.0,,154586646893.0
Chuyển sang tài sản cố định hữu hình,Nguyên giá > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,(138.806.529.152),(14.966.420.583),-,(153.772.949.735),-138806529152.0,-14966420583.0,,-153772949735.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,151.525.727.293,66.858.442.063,18.636.363.636,237.020.532.992,151525727293.0,66858442063.0,18636363636.0,237020532992.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,87.619.756.338,8.224.376.030,209.339.975,96.053.472.343,87619756338.0,8224376030.0,209339975.0,96053472343.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,21.653.782.476,11.777.650.298,1.863.636.363,35.295.069.137,21653782476.0,11777650298.0,1863636363.0,35295069137.0
Chuyển sang tài sản cố định hữu hình,Giá trị hao mòn lũy kế > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,(102.791.815.515),(5.579.023.254),-,(108.370.838.769),-102791815515.0,-5579023254.0,,-108370838769.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,6.481.723.299,14.423.003.074,2.072.976.338,22.977.702.711,6481723299.0,14423003074.0,2072976338.0,22977702711.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,57.685.853.214,64.040.486.616,18.427.023.661,140.153.363.491,57685853214.0,64040486616.0,18427023661.0,140153363491.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,145.044.003.994,52.435.438.989,16.563.387.298,214.042.830.281,145044003994.0,52435438989.0,16563387298.0,214042830281.0
