row_label_raw,row_label_full,col_0,Năm kết thúc ngày,Năm kết thúc ngày_1,numeric__Năm kết thúc ngày,numeric__Năm kết thúc ngày_1
,,,30/9/2019VND,30/9/2018VND,,
Số dư đầu kỳ,Số dư đầu kỳ,Số dư đầu kỳ,1.512.774.341.255,1.333.535.754.767,1512774341255.0,1333535754767.0
Tăng từ hợp nhất kinh doanh trong năm,Tăng từ hợp nhất kinh doanh trong năm,Tăng từ hợp nhất kinh doanh trong năm,26.839.374.200,-,26839374200.0,
Tăng trong năm,Tăng trong năm,Tăng trong năm,708.346.021.883,2.364.471.899.263,708346021883.0,2364471899263.0
Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,(1.585.009.466.653),(2.141.758.409.901),-1585009466653.0,-2141758409901.0
Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,-,(700.000.000),,-700000000.0
Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(18.860.179.511),(24.013.447.567),-18860179511.0,-24013447567.0
Giảm khác (*),Giảm khác (*),Giảm khác (*),(60.000.000.000),-,-60000000000.0,
Thanh lý,Thanh lý,Thanh lý,(476.066.951),(2.527.857.414),-476066951.0,-2527857414.0
Chuyển công ty con sang công ty liên kết,Chuyển công ty con sang công ty liên kết,Chuyển công ty con sang công ty liên kết,-,(13.540.452.573),,-13540452573.0
Giải thể công ty con,Giải thể công ty con,Giải thể công ty con,(7.161.152.043),(2.693.145.320),-7161152043.0,-2693145320.0
Số dư cuối kỳ,Số dư cuối kỳ,Số dư cuối kỳ,576.452.872.180,1.512.774.341.255,576452872180.0,1512774341255.0
