row_label_raw,row_label_full,col_0,Giá trị ghi số trước thời điểm mua VND,Các điều chỉnh giá trị hợp lý VND,Giá trị ghi nhận tại thời điểm mua VND,numeric__Giá trị ghi số trước thời điểm mua VND,numeric__Các điều chỉnh giá trị hợp lý VND,numeric__Giá trị ghi nhận tại thời điểm mua VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,5.949.008,-,5.949.008,5949008.0,,5949008.0
Các khoản phải thu – ngắn hạn,Các khoản phải thu – ngắn hạn,Các khoản phải thu – ngắn hạn,291.135.520,-,291.135.520,291135520.0,,291135520.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,6.770.000,-,6.770.000,6770000.0,,6770000.0
Tài sản đó đang dài hạn,Tài sản đó đang dài hạn,Tài sản đó đang dài hạn,21.318.139.102,-,21.318.139.102,21318139102.0,,21318139102.0
Nợ phải trả ngắn hạn,Nợ phải trả ngắn hạn,Nợ phải trả ngắn hạn,(4.439.401.173),-,(4.439.401.173),-4439401173.0,,-4439401173.0
Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,17.182.592.457,-,17.182.592.457,17182592457.0,,17182592457.0
Giá trị tài sản thuần mua,Giá trị tài sản thuần mua,Giá trị tài sản thuần mua,,,8.591.296.229,,,8591296229.0
Lợi thế thương mại phát sinh từ việc mua lại (*),Lợi thế thương mại phát sinh từ việc mua lại (*),Lợi thế thương mại phát sinh từ việc mua lại (*),,,8.758.703.771,,,8758703771.0
Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,,,17.350.000.000,,,17350000000.0
Khoản cán trừ công nợ,Khoản cán trừ công nợ,Khoản cán trừ công nợ,,,(14.574.000.000),,,-14574000000.0
Khoản tiền thu được,Khoản tiền thu được,Khoản tiền thu được,,,(5.949.008),,,-5949008.0
Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,,,2.770.050.992,,,2770050992.0
