row_label_raw,row_label_full,▪ Ngân hàng TMCP Công thương Việt Nam - Chi nhánh KCN Bình Dương > ▪ Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Nam Bình Dương > ▪ Ngân hàng Đầu tư và Phát triển Việt Nam - Chi nhánh Sở Giao dịch 2 > ▪ Ngân hàng TNHH MTV HSBC (Việt Nam),Thuyết minh > (i) > (ii) > (iii) > (iv) > (v),Loại tiền > VND > USD > VND > USD > VND > USD > VND,30/9/2019 VND > 1.994.915.518.201 > 129.916.416.765 > 1.567.097.214.485 > 54.253.608.247 > 252.269.997.400 > - > 395.058.324.455 > 589.496.289.578,1/10/2018 VND > 2.355.648.043.629 > 1.186.079.616.308 > 966.390.647.671 > 691.858.095.360 > 1.098.415.797.951 > 408.466.309.431 > - > 1.035.502.713.540,numeric__Thuyết minh > (i) > (ii) > (iii) > (iv) > (v),numeric__Loại tiền > VND > USD > VND > USD > VND > USD > VND,numeric__30/9/2019 VND > 1.994.915.518.201 > 129.916.416.765 > 1.567.097.214.485 > 54.253.608.247 > 252.269.997.400 > - > 395.058.324.455 > 589.496.289.578,numeric__1/10/2018 VND > 2.355.648.043.629 > 1.186.079.616.308 > 966.390.647.671 > 691.858.095.360 > 1.098.415.797.951 > 408.466.309.431 > - > 1.035.502.713.540
▪ Ngân hàng TMCP Phát triển TP. Hồ Chí Minh,▪ Ngân hàng TMCP Phát triển TP. Hồ Chí Minh,▪ Ngân hàng TMCP Phát triển TP. Hồ Chí Minh,(vi),USD,299.706.629.722,148.320.106.584,,,299706629722.0,148320106584.0
▪ Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh TP. Hồ Chí Minh,▪ Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh TP. Hồ Chí Minh,▪ Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh TP. Hồ Chí Minh,(vii),VND,-,390.501.383.564,,,,390501383564.0
▪ Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh TP. Hồ Chí Minh,▪ Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh TP. Hồ Chí Minh,▪ Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh TP. Hồ Chí Minh,(vii),USD,-,85.035.839.658,,,,85035839658.0
▪ Ngân hàng Sinopac - Chi nhánh TP. Hồ Chí Minh,▪ Ngân hàng Sinopac - Chi nhánh TP. Hồ Chí Minh,▪ Ngân hàng Sinopac - Chi nhánh TP. Hồ Chí Minh,(viii),VND,132.961.671.917,135.900.000.000,,,132961671917.0,135900000000.0
▪ Ngân hàng TNHH MTV UOB Việt Nam,▪ Ngân hàng TNHH MTV UOB Việt Nam,▪ Ngân hàng TNHH MTV UOB Việt Nam,(ix),VND,168.098.218.328,167.856.828.967,,,168098218328.0,167856828967.0
▪ Ngân hàng Malayan Banking Berhad Chi nhánh TP. Hồ Chí Minh,▪ Ngân hàng Malayan Banking Berhad Chi nhánh TP. Hồ Chí Minh,▪ Ngân hàng Malayan Banking Berhad Chi nhánh TP. Hồ Chí Minh,(x),USD,85.446.513.628,-,,,85446513628.0,
▪ Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Nghệ An,▪ Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Nghệ An,▪ Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Nghệ An,(xi),VND,266.182.861.076,751.935.188.536,,,266182861076.0,751935188536.0
▪ Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Bà Rịa Vũng Tàu,▪ Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Bà Rịa Vũng Tàu,▪ Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Bà Rịa Vũng Tàu,(xii),VND,49.229.798.800,204.379.110.451,,,49229798800.0,204379110451.0
▪ Ngân hàng Sumitomo Mitsu - Chi nhánh TP. Hồ Chí Minh,▪ Ngân hàng Sumitomo Mitsu - Chi nhánh TP. Hồ Chí Minh,▪ Ngân hàng Sumitomo Mitsu - Chi nhánh TP. Hồ Chí Minh,(xiii),VND,-,125.000.000.000,,,,125000000000.0
▪ Ngân hàng TNHH MTV ANZ (Việt Nam),▪ Ngân hàng TNHH MTV ANZ (Việt Nam),▪ Ngân hàng TNHH MTV ANZ (Việt Nam),(xiv),VND,-,108.024.412.792,,,,108024412792.0
▪ Ngân hàng TMCP Xuất nhập khẩu Việt Nam - Chi nhánh Bình Dương,▪ Ngân hàng TMCP Xuất nhập khẩu Việt Nam - Chi nhánh Bình Dương,▪ Ngân hàng TMCP Xuất nhập khẩu Việt Nam - Chi nhánh Bình Dương,(xv),USD,-,105.972.454.533,,,,105972454533.0
▪ Ngân hàng TMCP Công thương Việt Nam - Chi nhánh KCN Phú Tài,▪ Ngân hàng TMCP Công thương Việt Nam - Chi nhánh KCN Phú Tài,▪ Ngân hàng TMCP Công thương Việt Nam - Chi nhánh KCN Phú Tài,(xvi),VND,-,50.117.954.760,,,,50117954760.0
▪ Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Hà Nam,▪ Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Hà Nam,▪ Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Hà Nam,(xvii),VND,-,27.000.000.000,,,,27000000000.0
▪ Ngân hàng TNHH MTV Standard Chartered (Việt Nam) - Chi nhánh TP. Hồ Chí Minh,▪ Ngân hàng TNHH MTV Standard Chartered (Việt Nam) - Chi nhánh TP. Hồ Chí Minh,▪ Ngân hàng TNHH MTV Standard Chartered (Việt Nam) - Chi nhánh TP. Hồ Chí Minh,(xviii),VND,-,17.000.000.000,,,,17000000000.0
▪ Công ty Cổ phần Hoa Sen Quy Nhơn,▪ Công ty Cổ phần Hoa Sen Quy Nhơn,▪ Công ty Cổ phần Hoa Sen Quy Nhơn,,VND,-,53.000.000.000,,,,53000000000.0
,,,,,5.984.633.062.602,10.112.404.503.735,,,5984633062602.0,10112404503735.0
