row_label_raw,row_label_full,col_0,Năm kết thúc ngày,Năm kết thúc ngày_1,numeric__Năm kết thúc ngày,numeric__Năm kết thúc ngày_1
,,,30/9/2019VND,30/9/2018VND,,
Công ty thuộc sở hữu của Chủ tịch Tập đoàn,Công ty thuộc sở hữu của Chủ tịch Tập đoàn,Công ty thuộc sở hữu của Chủ tịch Tập đoàn,Công ty thuộc sở hữu của Chủ tịch Tập đoàn,Công ty thuộc sở hữu của Chủ tịch Tập đoàn,,
Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Công ty TNHH Tập đoàn Đầu tư Hoa Sen,,
Bán hàng hóa và thành phẩm,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Bán hàng hóa và thành phẩm,Bán hàng hóa và thành phẩm,4.260.734.635.552,6.753.479.410.892,4260734635552.0,6753479410892.0
Mua hàng hóa và thành phẩm,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Mua hàng hóa và thành phẩm,Mua hàng hóa và thành phẩm,424.424.089.519,2.131.904.449.532,424424089519.0,2131904449532.0
Doanh thu cho thuê tài sản,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Doanh thu cho thuê tài sản,Doanh thu cho thuê tài sản,4.198.466.388,1.828.130.909,4198466388.0,1828130909.0
Bán khác,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Bán khác,Bán khác,5.333.866.590,2.415.025.724,5333866590.0,2415025724.0
Bán tài sản cố định,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Bán tài sản cố định,Bán tài sản cố định,32.476.307.578,40.961.909.490,32476307578.0,40961909490.0
Mua tài sản cố định,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Mua tài sản cố định,Mua tài sản cố định,202.978.077.818,1.515.541.822,202978077818.0,1515541822.0
"Mua công cụ, dụng cụ","Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Mua công cụ, dụng cụ","Mua công cụ, dụng cụ",36.378.797.956,-,36378797956.0,
Chiết khấu thương mại,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Chiết khấu thương mại,Chiết khấu thương mại,3.364.556.991,44.875.174.015,3364556991.0,44875174015.0
Phí vận chuyển,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Phí vận chuyển,Phí vận chuyển,50.923.795.458,48.851.726.662,50923795458.0,48851726662.0
Chi phí thuê hoạt động,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Chi phí thuê hoạt động,Chi phí thuê hoạt động,5.977.669.234,539.338.900,5977669234.0,539338900.0
Hàng bán trả lại,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Hàng bán trả lại,Hàng bán trả lại,3.014.517.004,3.595.809.964,3014517004.0,3595809964.0
Công ty TNHH Một Thành Viên Đầu tư Hoa Sen Nghệ An,Công ty TNHH Một Thành Viên Đầu tư Hoa Sen Nghệ An,Công ty TNHH Một Thành Viên Đầu tư Hoa Sen Nghệ An,Công ty TNHH Một Thành Viên Đầu tư Hoa Sen Nghệ An,Công ty TNHH Một Thành Viên Đầu tư Hoa Sen Nghệ An,,
Phí vận chuyển,Công ty TNHH Một Thành Viên Đầu tư Hoa Sen Nghệ An > Phí vận chuyển,Phí vận chuyển,37.507.194.539,64.778.733.985,37507194539.0,64778733985.0
Doanh thu cho thuê tài sản,Công ty TNHH Một Thành Viên Đầu tư Hoa Sen Nghệ An > Doanh thu cho thuê tài sản,Doanh thu cho thuê tài sản,312.000.000,360.000.000,312000000.0,360000000.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,
Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,,
Tiền lương và thưởng,Thành viên Ban Tổng Giám đốc > Tiền lương và thưởng,Tiền lương và thưởng,12.037.488.915,18.380.164.144,12037488915.0,18380164144.0
Thành viên Hội đồng Quản trị và Ban Kiểm soát,Thành viên Hội đồng Quản trị và Ban Kiểm soát,Thành viên Hội đồng Quản trị và Ban Kiểm soát,Thành viên Hội đồng Quản trị và Ban Kiểm soát,Thành viên Hội đồng Quản trị và Ban Kiểm soát,,
Thù lao,Thành viên Hội đồng Quản trị và Ban Kiểm soát > Thù lao,Thù lao,2.340.000.000,2.270.000.000,2340000000.0,2270000000.0
