row_label_raw,row_label_full,Tên công ty,Hoạt động chính,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Tỷ lệ quyền sở hữu/quyền biểu quyết30/9/2019 1/10/2018,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Tỷ lệ quyền sở hữu/quyền biểu quyết30/9/2019 1/10/2018_1,numeric__Hoạt động chính,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Tỷ lệ quyền sở hữu/quyền biểu quyết30/9/2019 1/10/2018,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Tỷ lệ quyền sở hữu/quyền biểu quyết30/9/2019 1/10/2018_1
Công ty con (tiếp theo),Công ty con (tiếp theo),Công ty con (tiếp theo),Công ty con (tiếp theo),Công ty con (tiếp theo),Công ty con (tiếp theo),,,
▪ Công ty Cổ phần Hoa Sen Quy Nhơn,Công ty con (tiếp theo) > ▪ Công ty Cổ phần Hoa Sen Quy Nhơn,▪ Công ty Cổ phần Hoa Sen Quy Nhơn,Kinh doanh bất động sản và cung cấp dịch vụ hỗ trợ cho kinh doanh bất động sản.,99%,-,,0.99,
▪ Công ty Cổ phần Đầu tư Hạ tầng Khu Công nghiệp Hoa Sen Du Long,Công ty con (tiếp theo) > ▪ Công ty Cổ phần Đầu tư Hạ tầng Khu Công nghiệp Hoa Sen Du Long,▪ Công ty Cổ phần Đầu tư Hạ tầng Khu Công nghiệp Hoa Sen Du Long,"Đầu tư, xây dựng và kinh doanh kết cấu hạ tầng khu công nghiệp.",95%,-,,0.95,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,
▪ Công ty Cổ phần Hoa Sen Quy Nhơn,Công ty liên kết > ▪ Công ty Cổ phần Hoa Sen Quy Nhơn,▪ Công ty Cổ phần Hoa Sen Quy Nhơn,Kinh doanh bất động sản và cung cấp dịch vụ hỗ trợ cho kinh doanh bất động sản.,-,45%,,,0.45
▪ Công ty Cổ phần Đầu tư Hạ tầng Khu Công nghiệp Hoa Sen Du Long,Công ty liên kết > ▪ Công ty Cổ phần Đầu tư Hạ tầng Khu Công nghiệp Hoa Sen Du Long,▪ Công ty Cổ phần Đầu tư Hạ tầng Khu Công nghiệp Hoa Sen Du Long,"Đầu tư, xây dựng và kinh doanh kết cấu hạ tầng khu công nghiệp.",-,45%,,,0.45
▪ Công ty Cổ phần Cảng Quốc tế Hoa Sen (**),Công ty liên kết > ▪ Công ty Cổ phần Cảng Quốc tế Hoa Sen (**),▪ Công ty Cổ phần Cảng Quốc tế Hoa Sen (**),Cung cấp các dịch vụ hỗ trợ liên quan đến vận tải.,49%,-,,0.49,
