row_label_raw,row_label_full,col_0,Năm kết thúc ngày,Năm kết thúc ngày_1,numeric__Năm kết thúc ngày,numeric__Năm kết thúc ngày_1
,,,30/9/2019VND,30/9/2018VND(Đã phân loại lại),,
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,522.045.890.893,558.262.139.647,522045890893.0,558262139647.0
Chi phí xuất khẩu,Chi phí xuất khẩu,Chi phí xuất khẩu,348.900.692.741,565.999.087.040,348900692741.0,565999087040.0
Chi phí vận chuyển,Chi phí vận chuyển,Chi phí vận chuyển,173.731.390.239,242.295.552.021,173731390239.0,242295552021.0
Chi phí khấu hao và phân bổ,Chi phí khấu hao và phân bổ,Chi phí khấu hao và phân bổ,160.562.421.184,129.444.945.883,160562421184.0,129444945883.0
Chi phí thuê,Chi phí thuê,Chi phí thuê,150.613.054.991,101.856.042.602,150613054991.0,101856042602.0
Chi phí quảng cáo,Chi phí quảng cáo,Chi phí quảng cáo,104.833.777.549,114.127.564.790,104833777549.0,114127564790.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,93.322.072.588,112.412.613.044,93322072588.0,112412613044.0
Chi phí khác,Chi phí khác,Chi phí khác,194.873.541.055,208.599.569.717,194873541055.0,208599569717.0
,,,1.748.882.841.240,2.032.997.514.744,1748882841240.0,2032997514744.0
