row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Năm kết thúc ngày > 30/9/2019 VND,Năm kết thúc ngày > 30/9/2018 VND (Đã phân loại lại),numeric__Mã số,numeric__Thuyết minh,numeric__Năm kết thúc ngày > 30/9/2019 VND,numeric__Năm kết thúc ngày > 30/9/2018 VND (Đã phân loại lại)
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,29,28.081.303.783.088,34.570.344.557.164,1.0,29.0,28081303783088.0,34570344557164.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,29,46.528.664.413,128.915.208.903,2.0,29.0,46528664413.0,128915208903.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,29,28.034.775.118.675,34.441.429.348.261,10.0,29.0,28034775118675.0,34441429348261.0
Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,11,30,24.836.155.036.672,30.464.290.088.385,11.0,30.0,24836155036672.0,30464290088385.0
Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),20,,3.198.620.082.003,3.977.139.259.876,20.0,,3198620082003.0,3977139259876.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,31,63.164.230.629,179.498.893.481,21.0,31.0,63164230629.0,179498893481.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,32,802.634.741.872,970.732.705.902,22.0,32.0,802634741872.0,970732705902.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,745.960.164.920,811.669.226.449,23.0,,745960164920.0,811669226449.0
Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,24,,-,514.000.092,24.0,,,514000092.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,33,1.748.882.841.240,2.032.997.514.744,25.0,33.0,1748882841240.0,2032997514744.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,34,470.700.688.884,678.624.762.946,26.0,34.0,470700688884.0,678624762946.0
Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},30,,239.566.040.636,474.797.169.857,30.0,,239566040636.0,474797169857.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,35,253.166.267.295,56.900.222.229,31.0,35.0,253166267295.0,56900222229.0
Chi phí khác,Chi phí khác,Chi phí khác,32,,30.663.011.810,2.512.931.184,32.0,,30663011810.0,2512931184.0
Kết quả từ hoạt động khác (40 = 31 - 32),Kết quả từ hoạt động khác (40 = 31 - 32),Kết quả từ hoạt động khác (40 = 31 - 32),40,,222.503.255.485,54.387.291.045,40.0,,222503255485.0,54387291045.0
Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),50,,462.069.296.121,529.184.460.902,50.0,,462069296121.0,529184460902.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,37,102.045.530.564,95.720.855.600,51.0,37.0,102045530564.0,95720855600.0
(Lợi ích)/chi phí thuế TNDN hoãn lại,(Lợi ích)/chi phí thuế TNDN hoãn lại,(Lợi ích)/chi phí thuế TNDN hoãn lại,52,37,(1.347.738.189),24.297.904.363,52.0,37.0,-1347738189.0,24297904363.0
Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52) (mang sang trang sau),Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52) (mang sang trang sau),Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52) (mang sang trang sau),60,,361.371.503.746,409.165.700.939,60.0,,361371503746.0,409165700939.0
