row_label_raw,row_label_full,Tiền mua lại cổ phiếu đã phát hành,32,col_2,(1.116.000.000),(1.343.000.000),numeric__32,numeric__col_2,numeric__(1.116.000.000),numeric__(1.343.000.000)
Tiền thu từ di vay,Tiền thu từ di vay,Tiền thu từ di vay,33,,20.572.520.273.479,33.719.297.189.430,33.0,,20572520273479.0,33719297189430.0
Tiền thu từ hợp đồng bán và thuê lại,Tiền thu từ hợp đồng bán và thuê lại,Tiền thu từ hợp đồng bán và thuê lại,Tiền thu từ hợp đồng bán và thuê lại,Tiền thu từ hợp đồng bán và thuê lại,Tiền thu từ hợp đồng bán và thuê lại,Tiền thu từ hợp đồng bán và thuê lại,,,,
tài sản cổ định là thuê tài chính,Tiền thu từ hợp đồng bán và thuê lại > tài sản cổ định là thuê tài chính,tài sản cổ định là thuê tài chính,33,,110.741.661.833,84.136.860.047,33.0,,110741661833.0,84136860047.0
Tiền trả nợ gốc vay,Tiền thu từ hợp đồng bán và thuê lại > Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,34,,(25.197.752.754.083),(31.308.401.099.488),34.0,,-25197752754083.0,-31308401099488.0
Tiền trả nợ gốc thuê tài chính,Tiền thu từ hợp đồng bán và thuê lại > Tiền trả nợ gốc thuê tài chính,Tiền trả nợ gốc thuê tài chính,35,,(79.783.030.658),(47.505.770.325),35.0,,-79783030658.0,-47505770325.0
Tiền trả cổ tức,Tiền thu từ hợp đồng bán và thuê lại > Tiền trả cổ tức,Tiền trả cổ tức,36,,(225.251.900),(350.060.974.500),36.0,,-225251900.0,-350060974500.0
Lưu chuyển tiền thuần từ hoạt động tài chính,Tiền thu từ hợp đồng bán và thuê lại > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,,(4.595.615.101.329),2.096.123.205.164,40.0,,-4595615101329.0,2096123205164.0
Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),Tiền thu từ hợp đồng bán và thuê lại > Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),50,,(200.912.977.616),202.572.290.834,50.0,,-200912977616.0,202572290834.0
Tiền và các khoản tương đương tiền đầu năm,Tiền thu từ hợp đồng bán và thuê lại > Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,60,,492.079.830.667,292.371.319.351,60.0,,492079830667.0,292371319351.0
Ảnh hưởng của chênh lệch tỷ giá quy đổi ngoại tệ,Tiền thu từ hợp đồng bán và thuê lại > Ảnh hưởng của chênh lệch tỷ giá quy đổi ngoại tệ,Ảnh hưởng của chênh lệch tỷ giá quy đổi ngoại tệ,61,,(2.459.139.879),(2.863.779.518),61.0,,-2459139879.0,-2863779518.0
Tiền và các khoản tương đương tiền cuối năm \( (70 = 50 + 60 + 61) \),Tiền thu từ hợp đồng bán và thuê lại > Tiền và các khoản tương đương tiền cuối năm \( (70 = 50 + 60 + 61) \),Tiền và các khoản tương đương tiền cuối năm \( (70 = 50 + 60 + 61) \),7,,288.707.713.173,492.079.830.667,7.0,,288707713173.0,492079830667.0
