row_label_raw,row_label_full,Bên cho vay,Bên cho vay_1,Loại tiền,Hạn mức,Lãi suất,Lãi suất_1,Tài sản đảm bảo,numeric__Bên cho vay_1,numeric__Loại tiền,numeric__Hạn mức,numeric__Lãi suất,numeric__Lãi suất_1,numeric__Tài sản đảm bảo
Bên cho vay,Bên cho vay,Bên cho vay,Bên cho vay,Loại tiền,Hạn mức,30/9/2019,1/10/2018,Tài sản đảm bảo,,,,,,
xii.,Bên cho vay > xii.,xii.,Ngân hàng TMCP Công thương Việt Nam- Chi nhánh Bà Ria Vũng Tàu,VND,300 tỷ VND,"5,50%","5,50%",Hàng tồn kho,,,,0.055,0.055,
xiii.,Bên cho vay > xiii.,xiii.,Ngân hàng Sumitomo Mitsu- Chi nhánh TP. Hồ Chí Minh,VND,-,"6,40%","5,60%",Hàng tồn kho,,,,0.064,0.055999999999999994,
xiv.,Bên cho vay > xiv.,xiv.,Ngân hàng TNHH MTV ANZ (Việt Nam),VND,-,"5,95%","4,95% - 6,50%",Hàng tồn kho và quyền sử dụng đất,,,,0.059500000000000004,,
xv.,Bên cho vay > xv.,xv.,Ngân hàng TMCP Xuất nhập khẩu Việt Nam- Chi nhánh Bình Dương,USD,-,"3,00%","3,00%",Không có tài sản đảm bảo,,,,0.03,0.03,
xvi.,xvi.,xvi.,Ngân hàng TMCP Công thương Việt Nam- Chi nhánh KCN Phú Tài,VND,-,"5,50% - 5,80%","5,50% - 5,80%",Hàng tồn kho và phải thu ngắn hạn của khách hàng,,,,,,
xvii.,xvii.,xvii.,Ngân hàng TMCP Công thương Việt Nam- Chi nhánh Hà Nam,VND,-,"5,10% - 5,50%","5,10% - 5,50%",Hàng tồn kho,,,,,,
xviii.,xvii. > xviii.,xviii.,Ngân hàng TNHH MTV Standard Chartered (Việt Nam) - Chi nhánh TP. Hồ Chí Minh,VND,-,"5,85%","5,85%",Máy móc và thiết bị,,,,0.058499999999999996,0.058499999999999996,
