row_label_raw,row_label_full,Thuế giá trị gia tăng,1/10/2018VND > 55.517.778.045,Số phải nộp trong năm VND > 8.557.555.275.448,Số đã nộp trong năm VND > (1.306.377.804.862),Số đã cán trừ VND > (7.233.377.391.590),Phân loại lại VND > 3.305.017.004,30/9/2019VND > 76.622.874.045,numeric__1/10/2018VND > 55.517.778.045,numeric__Số phải nộp trong năm VND > 8.557.555.275.448,numeric__Số đã nộp trong năm VND > (1.306.377.804.862),numeric__Số đã cán trừ VND > (7.233.377.391.590),numeric__Phân loại lại VND > 3.305.017.004,numeric__30/9/2019VND > 76.622.874.045
Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,428.139.298,14.511.501.282,(14.849.390.749),-,(11.902.459),78.347.372,428139298.0,14511501282.0,-14849390749.0,,-11902459.0,78347372.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,3.544.084.523,102.045.530.564,(78.482.788.446),-,(23.012.686.601),4.094.140.040,3544084523.0,102045530564.0,-78482788446.0,,-23012686601.0,4094140040.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,2.024.109.408,14.545.815.337,(13.827.994.901),-,43.648.986,2.785.578.830,2024109408.0,14545815337.0,-13827994901.0,,43648986.0,2785578830.0
Thuế khác,Thuế khác,Thuế khác,4.152.384,11.616.652.955,(11.541.395.291),-,(1.359.458),78.050.590,4152384.0,11616652955.0,-11541395291.0,,-1359458.0,78050590.0
,,,61.518.263.658,8.700.274.775.586,(1.425.079.374.249),(7.233.377.391.590),(19.677.282.528),83.658.990.877,61518263658.0,8700274775586.0,-1425079374249.0,-7233377391590.0,-19677282528.0,83658990877.0
(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,,,,,,
,,,,,,1/10/2018VND,Phân loạiVND,30/9/2019VND,,,,,,
Thuế xuất nhập khẩu,(b) Thuế phải thu Nhà nước > Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,,,,11.902.459,(11.902.459),-,,,,11902459.0,-11902459.0,
Thuế thu nhập doanh nghiệp,(b) Thuế phải thu Nhà nước > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,,30.121.058.199,(23.012.686.601),7.108.371.598,,,,30121058199.0,-23012686601.0,7108371598.0
Thuế thu nhập cá nhân,(b) Thuế phải thu Nhà nước > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,,,,34.632.200,43.648.986,78.281.186,,,,34632200.0,43648986.0,78281186.0
Thuế khác,(b) Thuế phải thu Nhà nước > Thuế khác,Thuế khác,,,,1.359.458,(1.359.458),-,,,,1359458.0,-1359458.0,
,,,,,,30.168.952.316,(22.982.299.532),7.186.652.784,,,,30168952316.0,-22982299532.0,7186652784.0
