row_label_raw,row_label_full,col_0,Giá trị ghi số trước thời điểm mua VND,Các điều chỉnh giá trị hợp lý VND,Giá trị ghi nhận tại thời điểm mua VND,numeric__Giá trị ghi số trước thời điểm mua VND,numeric__Các điều chỉnh giá trị hợp lý VND,numeric__Giá trị ghi nhận tại thời điểm mua VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,678.649.772,-,678.649.772,678649772.0,,678649772.0
Các khoản phải thu – ngắn hạn,Các khoản phải thu – ngắn hạn,Các khoản phải thu – ngắn hạn,55.758.779.407,-,55.758.779.407,55758779407.0,,55758779407.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,320.338.282,-,320.338.282,320338282.0,,320338282.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,6.835.649.529,-,6.835.649.529,6835649529.0,,6835649529.0
Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,63.593.416.990,-,63.593.416.990,63593416990.0,,63593416990.0
Giá trị tài sản thuần mua,Giá trị tài sản thuần mua,Giá trị tài sản thuần mua,,,34.340.445.175,,,34340445175.0
Lợi thế thương mại phát sinh từ việc mua lại,Lợi thế thương mại phát sinh từ việc mua lại,Lợi thế thương mại phát sinh từ việc mua lại,,,(860.445.175),,,-860445175.0
Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,,,33.480.000.000,,,33480000000.0
Khoản cán trừ công nợ,Khoản cán trừ công nợ,Khoản cán trừ công nợ,,,(27.590.000.000),,,-27590000000.0
Khoản tiền thu được,Khoản tiền thu được,Khoản tiền thu được,,,(678.649.772),,,-678649772.0
Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,,,5.211.350.228,,,5211350228.0
