row_label_raw,row_label_full,col_0,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2020VND,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2019VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2020VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2019VND
Chuyển phi nhượng tái bảo hiểm nhân thọ,Chuyển phi nhượng tái bảo hiểm nhân thọ,Chuyển phi nhượng tái bảo hiểm nhân thọ,Chuyển phi nhượng tái bảo hiểm nhân thọ,Chuyển phi nhượng tái bảo hiểm nhân thọ,,
Bảo hiểm hỗn hợp,Chuyển phi nhượng tái bảo hiểm nhân thọ > Bảo hiểm hỗn hợp,Bảo hiểm hỗn hợp,358.178.035,472.286.870,358178035.0,472286870.0
Bảo hiểm liên kết chung,Chuyển phi nhượng tái bảo hiểm nhân thọ > Bảo hiểm liên kết chung,Bảo hiểm liên kết chung,10.690.831.445,9.443.461.141,10690831445.0,9443461141.0
Các sản phẩm bảo hiểm nhân thọ khác,Chuyển phi nhượng tái bảo hiểm nhân thọ > Các sản phẩm bảo hiểm nhân thọ khác,Các sản phẩm bảo hiểm nhân thọ khác,4.381.770.078,3.782.071.677,4381770078.0,3782071677.0
,,,15.430.779.558,13.697.819.688,15430779558.0,13697819688.0
Chuyển phi nhượng tái bảo hiểm phìnhân thọ,Chuyển phi nhượng tái bảo hiểm phìnhân thọ,Chuyển phi nhượng tái bảo hiểm phìnhân thọ,Chuyển phi nhượng tái bảo hiểm phìnhân thọ,Chuyển phi nhượng tái bảo hiểm phìnhân thọ,,
Bảo hiểm trách nhiệm,Chuyển phi nhượng tái bảo hiểm phìnhân thọ > Bảo hiểm trách nhiệm,Bảo hiểm trách nhiệm,336.370.029.771,83.639.452.402,336370029771.0,83639452402.0
Bảo hiểm tài sản,Chuyển phi nhượng tái bảo hiểm phìnhân thọ > Bảo hiểm tài sản,Bảo hiểm tài sản,3.063.674.809.756,3.029.895.746.414,3063674809756.0,3029895746414.0
Bảo hiểm con người,Chuyển phi nhượng tái bảo hiểm phìnhân thọ > Bảo hiểm con người,Bảo hiểm con người,703.875.205.005,247.155.912.201,703875205005.0,247155912201.0
,,,4.103.920.044.532,3.360.691.111.017,4103920044532.0,3360691111017.0
,,,4.119.350.824.090,3.374.388.930.705,4119350824090.0,3374388930705.0
