row_label_raw,row_label_full,"Giá trị rủi ro của danhmục cố phiếu niêm yết tạingày 31/12/2020 > Giá trị số sách > Giá trị thị trường > VaR (95%, 1 ngày)",HOSE > 1.511.560 > 2.255.994 > (52.015),HNX > 476.298 > 565.152 > (19.736),Tổng > 1.987.858 > 2.821.146 > (71.751),numeric__HOSE > 1.511.560 > 2.255.994 > (52.015),numeric__HNX > 476.298 > 565.152 > (19.736),numeric__Tổng > 1.987.858 > 2.821.146 > (71.751)
Mức độ đa dạng hóa VaR(95%),Mức độ đa dạng hóa VaR(95%),Mức độ đa dạng hóa VaR(95%),51.162,4.658,55.820,51162.0,4658.0,55820.0
"VaR (95%, 1 tuần)","VaR (95%, 1 tuần)","VaR (95%, 1 tuần)",(116.310),(44.131),(160.441),-116310.0,-44131.0,-160441.0
"VaR (95%, 1 tháng)","VaR (95%, 1 tháng)","VaR (95%, 1 tháng)",(243.974),(92.571),(336.545),-243974.0,-92571.0,-336545.0
"VaR (95%, 1 năm)","VaR (95%, 1 năm)","VaR (95%, 1 năm)",(825.717),(313.304),(1.139.021),-825717.0,-313304.0,-1139021.0
Giá trị rủi ro của danhmục cố phiếu niêm yết tạingày 31/12/2019,Giá trị rủi ro của danhmục cố phiếu niêm yết tạingày 31/12/2019,Giá trị rủi ro của danhmục cố phiếu niêm yết tạingày 31/12/2019,HOSE,HNX,Tổng,,,
Giá trị số sách,Giá trị rủi ro của danhmục cố phiếu niêm yết tạingày 31/12/2019 > Giá trị số sách,Giá trị số sách,1.589.979,486.575,2.076.554,1589979.0,486575.0,2076554.0
Giá trị thị trường,Giá trị rủi ro của danhmục cố phiếu niêm yết tạingày 31/12/2019 > Giá trị thị trường,Giá trị thị trường,1.813.409,620.077,2.433.485,1813409.0,620077.0,2433485.0
"VaR (95%, 1 ngày)","Giá trị rủi ro của danhmục cố phiếu niêm yết tạingày 31/12/2019 > VaR (95%, 1 ngày)","VaR (95%, 1 ngày)",(28.832),(20.417),(49.249),-28832.0,-20417.0,-49249.0
Mức độ đa dạng hóa VaR(95%),Giá trị rủi ro của danhmục cố phiếu niêm yết tạingày 31/12/2019 > Mức độ đa dạng hóa VaR(95%),Mức độ đa dạng hóa VaR(95%),27.268,4.401,31.669,27268.0,4401.0,31669.0
"VaR (95%, 1 tuần)","Giá trị rủi ro của danhmục cố phiếu niêm yết tạingày 31/12/2019 > VaR (95%, 1 tuần)","VaR (95%, 1 tuần)",(64.471),(45.654),(110.125),-64471.0,-45654.0,-110125.0
"VaR (95%, 1 tháng)","Giá trị rủi ro của danhmục cố phiếu niêm yết tạingày 31/12/2019 > VaR (95%, 1 tháng)","VaR (95%, 1 tháng)",(135.236),(95.764),(231.000),-135236.0,-95764.0,-231000.0
"VaR (95%, 1 năm)","Giá trị rủi ro của danhmục cố phiếu niêm yết tạingày 31/12/2019 > VaR (95%, 1 năm)","VaR (95%, 1 năm)",(457.701),(324.109),(781.810),-457701.0,-324109.0,-781810.0
