row_label_raw,row_label_full,col_0,Bảng cản đối kế toàn hợp nhất,Bảng cản đối kế toàn hợp nhất_1,Bảo cáo kết quả hoạt động kinh doanh hợp nhất,Bảo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cản đối kế toàn hợp nhất,numeric__Bảng cản đối kế toàn hợp nhất_1,numeric__Bảo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Bảo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Ngày 31 tháng12 năm 2020VND,Ngày 31 tháng12 năm 2019VND,Cho năm tài chính kết thúc ngày31/12/2020VND,Cho năm tài chính kết thúc ngày31/12/2019VND,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,12.137.474.250,43.189.496.624,(31.052.022.374),(689.275.114),12137474250.0,43189496624.0,-31052022374.0,-689275114.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,(5.101.265.074),(110.927.382),(4.990.337.692),1.359.147.409,-5101265074.0,-110927382.0,-4990337692.0,1359147409.0
(Chi phí)/Thu nhập thuế thu nhập hoãn lại tỉnh vào kết quả kinh doanh hợp nhất,(Chi phí)/Thu nhập thuế thu nhập hoãn lại tỉnh vào kết quả kinh doanh hợp nhất,(Chi phí)/Thu nhập thuế thu nhập hoãn lại tỉnh vào kết quả kinh doanh hợp nhất,,,(36.042.360.066),659.872.295,,,-36042360066.0,659872295.0
